Index,0,1,2,Ensemble_Decision
0,0.478,0.51,0.012,1
1,0.427,0.559,0.014,1
2,0.463,0.508,0.029,1
3,0.438,0.551,0.01,1
4,0.571,0.414,0.015,0
5,0.47,0.516,0.014,1
6,0.677,0.258,0.065,0
7,0.504,0.439,0.057,0
8,0.423,0.347,0.23,0
9,0.383,0.465,0.152,1
10,0.307,0.286,0.407,2
11,0.483,0.504,0.013,1
12,0.437,0.548,0.015,1
13,0.383,0.594,0.023,1
14,0.546,0.444,0.01,0
15,0.28,0.704,0.015,1
16,0.488,0.5,0.012,1
17,0.502,0.426,0.073,0
18,0.458,0.532,0.01,1
19,0.382,0.604,0.014,1
20,0.365,0.314,0.322,0
21,0.585,0.395,0.02,0
22,0.425,0.553,0.022,1
23,0.398,0.591,0.011,1
24,0.343,0.642,0.015,1
25,0.564,0.418,0.018,0
26,0.671,0.311,0.018,0
27,0.564,0.411,0.025,0
28,0.412,0.576,0.012,1
29,0.689,0.285,0.026,0
30,0.498,0.488,0.014,0
31,0.349,0.634,0.016,1
32,0.466,0.518,0.016,1
33,0.42,0.568,0.011,1
34,0.543,0.389,0.068,0
35,0.537,0.451,0.011,0
36,0.302,0.672,0.026,1
37,0.356,0.625,0.019,1
38,0.383,0.605,0.012,1
39,0.42,0.564,0.016,1
40,0.396,0.594,0.01,1
41,0.394,0.585,0.021,1
42,0.359,0.632,0.01,1
43,0.472,0.511,0.017,1
44,0.531,0.433,0.036,0
45,0.542,0.441,0.016,0
46,0.433,0.544,0.023,1
47,0.519,0.424,0.057,0
48,0.389,0.594,0.017,1
49,0.587,0.404,0.009,0
50,0.443,0.508,0.049,1
51,0.589,0.396,0.015,0
52,0.602,0.389,0.008,0
53,0.481,0.508,0.011,1
54,0.574,0.404,0.023,0
55,0.413,0.572,0.015,1
56,0.459,0.53,0.011,1
57,0.37,0.378,0.251,1
58,0.414,0.416,0.171,1
59,0.489,0.498,0.013,1
60,0.523,0.466,0.011,0
61,0.386,0.599,0.015,1
62,0.384,0.606,0.011,1
63,0.541,0.442,0.017,0
64,0.149,0.803,0.048,1
65,0.397,0.592,0.011,1
66,0.312,0.665,0.023,1
67,0.295,0.694,0.011,1
68,0.537,0.433,0.03,0
69,0.313,0.675,0.011,1
70,0.423,0.566,0.011,1
71,0.541,0.447,0.012,0
72,0.514,0.444,0.043,0
73,0.582,0.388,0.03,0
74,0.481,0.454,0.064,0
75,0.454,0.533,0.013,1
76,0.428,0.551,0.022,1
77,0.584,0.396,0.019,0
78,0.426,0.518,0.056,1
79,0.47,0.512,0.018,1
80,0.464,0.52,0.016,1
81,0.397,0.514,0.089,1
82,0.575,0.406,0.018,0
83,0.327,0.659,0.014,1
84,0.391,0.599,0.01,1
85,0.362,0.621,0.017,1
86,0.528,0.461,0.012,0
87,0.521,0.439,0.041,0
88,0.45,0.421,0.129,0
89,0.532,0.456,0.012,0
90,0.498,0.493,0.01,0
91,0.351,0.639,0.01,1
92,0.537,0.454,0.009,0
93,0.457,0.529,0.014,1
94,0.712,0.277,0.011,0
95,0.482,0.506,0.013,1
96,0.642,0.337,0.021,0
97,0.509,0.48,0.01,0
98,0.55,0.443,0.007,0
99,0.319,0.67,0.011,1
100,0.455,0.516,0.029,1
101,0.603,0.384,0.013,0
102,0.666,0.264,0.07,0
103,0.473,0.517,0.009,1
104,0.391,0.596,0.013,1
105,0.46,0.502,0.039,1
106,0.347,0.636,0.017,1
107,0.549,0.441,0.011,0
108,0.437,0.547,0.016,1
109,0.421,0.54,0.038,1
110,0.409,0.579,0.012,1
111,0.576,0.414,0.01,0
112,0.416,0.568,0.015,1
113,0.555,0.428,0.017,0
114,0.443,0.427,0.131,0
115,0.524,0.46,0.017,0
116,0.32,0.53,0.149,1
117,0.529,0.457,0.014,0
118,0.525,0.465,0.01,0
119,0.622,0.348,0.03,0
120,0.478,0.408,0.114,0
121,0.46,0.519,0.022,1
122,0.644,0.335,0.022,0
123,0.473,0.511,0.016,1
124,0.548,0.432,0.019,0
125,0.499,0.477,0.024,0
126,0.387,0.586,0.027,1
127,0.469,0.518,0.014,1
128,0.498,0.49,0.012,0
129,0.46,0.529,0.011,1
130,0.485,0.501,0.014,1
131,0.52,0.393,0.088,0
132,0.432,0.557,0.012,1
133,0.561,0.416,0.023,0
134,0.536,0.447,0.017,0
135,0.494,0.479,0.027,0
136,0.546,0.421,0.034,0
137,0.488,0.497,0.015,1
138,0.414,0.573,0.014,1
139,0.511,0.207,0.282,0
140,0.309,0.496,0.195,1
141,0.491,0.406,0.103,0
142,0.468,0.521,0.011,1
143,0.399,0.585,0.015,1
144,0.357,0.623,0.02,1
145,0.399,0.584,0.018,1
146,0.424,0.423,0.153,0
147,0.468,0.431,0.101,0
148,0.396,0.565,0.039,1
149,0.507,0.473,0.021,0
150,0.419,0.48,0.101,1
151,0.509,0.469,0.022,0
152,0.473,0.502,0.025,1
153,0.435,0.538,0.026,1
154,0.483,0.39,0.127,0
155,0.308,0.518,0.174,1
156,0.365,0.606,0.028,1
157,0.558,0.423,0.019,0
158,0.462,0.516,0.022,1
159,0.634,0.354,0.012,0
160,0.461,0.528,0.01,1
161,0.507,0.475,0.018,0
162,0.591,0.383,0.026,0
163,0.535,0.452,0.012,0
164,0.378,0.558,0.064,1
165,0.459,0.526,0.015,1
166,0.662,0.32,0.018,0
167,0.326,0.663,0.011,1
168,0.392,0.598,0.011,1
169,0.527,0.406,0.068,0
170,0.543,0.439,0.017,0
171,0.415,0.569,0.017,1
172,0.563,0.249,0.187,0
173,0.377,0.417,0.206,1
174,0.165,0.356,0.479,2
175,0.418,0.554,0.028,1
176,0.283,0.703,0.014,1
177,0.346,0.573,0.081,1
178,0.432,0.383,0.185,0
179,0.43,0.557,0.013,1
180,0.46,0.519,0.021,1
181,0.329,0.659,0.012,1
182,0.485,0.482,0.033,0
183,0.38,0.603,0.018,1
184,0.492,0.495,0.013,1
185,0.509,0.474,0.017,0
186,0.498,0.485,0.017,0
187,0.464,0.524,0.011,1
188,0.486,0.503,0.011,1
189,0.449,0.515,0.036,1
190,0.576,0.394,0.03,0
191,0.496,0.262,0.242,0
192,0.484,0.496,0.02,1
193,0.41,0.578,0.012,1
194,0.125,0.846,0.029,1
195,0.409,0.565,0.026,1
196,0.325,0.286,0.389,2
197,0.392,0.582,0.026,1
198,0.454,0.344,0.202,0
199,0.476,0.506,0.018,1
200,0.42,0.565,0.015,1
201,0.455,0.524,0.022,1
202,0.53,0.458,0.012,0
203,0.477,0.281,0.241,0
204,0.465,0.527,0.008,1
205,0.466,0.518,0.016,1
206,0.497,0.49,0.013,0
207,0.468,0.511,0.021,1
208,0.429,0.56,0.011,1
209,0.297,0.672,0.03,1
210,0.531,0.374,0.095,0
211,0.437,0.549,0.014,1
212,0.474,0.512,0.013,1
213,0.544,0.437,0.019,0
214,0.561,0.428,0.011,0
215,0.468,0.459,0.073,0
216,0.479,0.506,0.015,1
217,0.463,0.509,0.028,1
218,0.391,0.589,0.02,1
219,0.546,0.391,0.063,0
220,0.499,0.489,0.012,0
221,0.401,0.563,0.036,1
222,0.541,0.444,0.015,0
223,0.504,0.48,0.016,0
224,0.521,0.445,0.034,0
225,0.444,0.544,0.013,1
226,0.467,0.514,0.019,1
227,0.31,0.626,0.064,1
228,0.41,0.551,0.039,1
229,0.46,0.529,0.01,1
230,0.569,0.403,0.028,0
231,0.443,0.543,0.013,1
232,0.487,0.461,0.052,0
233,0.686,0.3,0.014,0
234,0.463,0.384,0.154,0
235,0.542,0.424,0.034,0
236,0.323,0.664,0.014,1
237,0.399,0.42,0.181,1
238,0.479,0.507,0.014,1
239,0.395,0.419,0.186,1
240,0.439,0.527,0.034,1
241,0.461,0.439,0.1,0
242,0.3,0.599,0.101,1
243,0.711,0.274,0.015,0
244,0.319,0.673,0.008,1
245,0.341,0.65,0.009,1
246,0.388,0.508,0.104,1
247,0.511,0.471,0.018,0
248,0.406,0.565,0.029,1
249,0.465,0.414,0.121,0
250,0.39,0.597,0.013,1
251,0.351,0.62,0.029,1
252,0.533,0.456,0.011,0
253,0.595,0.391,0.013,0
254,0.441,0.518,0.041,1
255,0.451,0.541,0.008,1
256,0.369,0.56,0.07,1
257,0.459,0.529,0.012,1
258,0.47,0.519,0.012,1
259,0.528,0.462,0.01,0
260,0.556,0.409,0.035,0
261,0.35,0.637,0.013,1
262,0.423,0.497,0.08,1
263,0.439,0.542,0.019,1
264,0.502,0.422,0.076,0
265,0.405,0.581,0.014,1
266,0.62,0.363,0.016,0
267,0.564,0.424,0.012,0
