Index,0,1,2,Ensemble_Decision
0,0.361,0.613,0.026,1
1,0.444,0.532,0.024,1
2,0.601,0.375,0.025,0
3,0.474,0.507,0.018,1
4,0.494,0.426,0.08,0
5,0.501,0.479,0.02,0
6,0.501,0.481,0.018,0
7,0.427,0.553,0.021,1
8,0.534,0.396,0.071,0
9,0.492,0.489,0.019,0
10,0.453,0.529,0.017,1
11,0.485,0.497,0.018,1
12,0.353,0.511,0.136,1
13,0.416,0.532,0.052,1
14,0.416,0.505,0.079,1
15,0.658,0.323,0.019,0
16,0.449,0.526,0.025,1
17,0.374,0.601,0.024,1
18,0.547,0.433,0.019,0
19,0.356,0.621,0.022,1
20,0.415,0.566,0.019,1
21,0.484,0.497,0.019,1
22,0.388,0.585,0.027,1
23,0.387,0.589,0.023,1
24,0.571,0.411,0.018,0
25,0.473,0.504,0.023,1
26,0.52,0.402,0.078,0
27,0.493,0.478,0.029,0
28,0.653,0.328,0.019,0
29,0.507,0.471,0.022,0
30,0.371,0.502,0.127,1
31,0.51,0.465,0.025,0
32,0.356,0.622,0.022,1
33,0.515,0.457,0.028,0
34,0.646,0.326,0.028,0
35,0.442,0.522,0.036,1
36,0.443,0.534,0.022,1
37,0.469,0.5,0.03,1
38,0.469,0.498,0.033,1
39,0.479,0.391,0.13,0
40,0.382,0.54,0.078,1
41,0.345,0.63,0.025,1
42,0.295,0.678,0.027,1
43,0.486,0.492,0.022,1
44,0.402,0.474,0.124,1
45,0.596,0.33,0.074,0
46,0.394,0.583,0.023,1
47,0.507,0.469,0.024,0
48,0.298,0.682,0.02,1
49,0.567,0.412,0.021,0
50,0.338,0.637,0.025,1
51,0.468,0.499,0.033,1
52,0.486,0.473,0.041,0
53,0.556,0.426,0.018,0
54,0.35,0.546,0.104,1
55,0.431,0.55,0.02,1
56,0.387,0.585,0.028,1
57,0.451,0.515,0.034,1
58,0.469,0.514,0.017,1
59,0.657,0.324,0.019,0
60,0.444,0.482,0.074,1
61,0.309,0.662,0.029,1
62,0.498,0.473,0.03,0
63,0.43,0.485,0.086,1
64,0.552,0.425,0.023,0
65,0.511,0.365,0.124,0
66,0.38,0.599,0.021,1
67,0.433,0.542,0.025,1
68,0.551,0.429,0.021,0
69,0.357,0.563,0.08,1
70,0.618,0.345,0.037,0
71,0.423,0.408,0.168,0
72,0.45,0.531,0.019,1
73,0.584,0.395,0.021,0
74,0.554,0.426,0.02,0
75,0.475,0.508,0.017,1
76,0.554,0.414,0.032,0
77,0.331,0.647,0.021,1
78,0.506,0.388,0.106,0
79,0.338,0.639,0.022,1
80,0.405,0.563,0.031,1
81,0.449,0.529,0.022,1
82,0.597,0.373,0.03,0
83,0.474,0.507,0.019,1
84,0.58,0.375,0.045,0
85,0.389,0.59,0.021,1
86,0.543,0.436,0.02,0
87,0.439,0.539,0.022,1
88,0.465,0.518,0.017,1
89,0.572,0.405,0.023,0
90,0.633,0.346,0.02,0
91,0.506,0.471,0.023,0
92,0.316,0.577,0.107,1
93,0.482,0.497,0.021,1
94,0.63,0.351,0.018,0
95,0.503,0.477,0.02,0
96,0.48,0.494,0.026,1
97,0.44,0.541,0.019,1
98,0.603,0.378,0.019,0
99,0.539,0.444,0.017,0
100,0.6,0.381,0.019,0
101,0.557,0.417,0.025,0
102,0.469,0.359,0.172,0
103,0.357,0.619,0.023,1
104,0.509,0.416,0.075,0
105,0.37,0.603,0.028,1
106,0.61,0.367,0.024,0
107,0.396,0.578,0.025,1
108,0.29,0.688,0.022,1
109,0.392,0.576,0.032,1
110,0.527,0.451,0.022,0
111,0.451,0.508,0.041,1
112,0.36,0.613,0.028,1
113,0.471,0.421,0.108,0
114,0.439,0.531,0.03,1
115,0.447,0.527,0.026,1
116,0.538,0.43,0.032,0
117,0.468,0.505,0.027,1
118,0.637,0.346,0.017,0
119,0.307,0.674,0.019,1
120,0.489,0.487,0.024,0
121,0.517,0.452,0.031,0
122,0.419,0.558,0.023,1
123,0.5,0.443,0.057,0
124,0.324,0.591,0.085,1
125,0.325,0.644,0.031,1
126,0.507,0.389,0.104,0
127,0.628,0.352,0.02,0
128,0.596,0.328,0.076,0
129,0.272,0.693,0.036,1
130,0.415,0.553,0.032,1
131,0.625,0.347,0.028,0
132,0.382,0.477,0.141,1
133,0.322,0.632,0.045,1
134,0.433,0.344,0.223,0
135,0.291,0.676,0.033,1
136,0.418,0.556,0.026,1
137,0.491,0.475,0.034,0
138,0.429,0.539,0.032,1
139,0.45,0.497,0.053,1
140,0.345,0.635,0.02,1
141,0.366,0.556,0.078,1
142,0.549,0.432,0.018,0
143,0.42,0.498,0.083,1
144,0.507,0.461,0.032,0
145,0.434,0.541,0.025,1
146,0.463,0.512,0.025,1
147,0.382,0.598,0.02,1
148,0.488,0.495,0.017,1
149,0.399,0.444,0.157,1
150,0.425,0.558,0.017,1
151,0.482,0.414,0.105,0
152,0.458,0.519,0.023,1
153,0.387,0.498,0.114,1
154,0.395,0.511,0.093,1
155,0.364,0.609,0.027,1
156,0.343,0.64,0.017,1
157,0.471,0.507,0.022,1
158,0.388,0.487,0.125,1
159,0.311,0.592,0.097,1
160,0.546,0.435,0.019,0
161,0.398,0.507,0.095,1
162,0.436,0.544,0.021,1
163,0.346,0.632,0.022,1
164,0.495,0.43,0.076,0
165,0.557,0.422,0.021,0
166,0.561,0.402,0.037,0
167,0.261,0.665,0.074,1
168,0.326,0.567,0.107,1
169,0.384,0.582,0.034,1
170,0.373,0.598,0.029,1
171,0.666,0.315,0.019,0
172,0.417,0.562,0.021,1
173,0.419,0.56,0.021,1
174,0.387,0.59,0.023,1
175,0.356,0.62,0.024,1
176,0.478,0.493,0.029,1
177,0.467,0.482,0.051,1
178,0.451,0.518,0.031,1
179,0.429,0.49,0.081,1
180,0.408,0.551,0.041,1
181,0.63,0.339,0.031,0
182,0.508,0.472,0.02,0
183,0.595,0.386,0.02,0
184,0.495,0.429,0.076,0
185,0.492,0.491,0.017,0
186,0.405,0.469,0.126,1
187,0.392,0.592,0.017,1
188,0.333,0.572,0.095,1
189,0.488,0.489,0.023,1
190,0.457,0.518,0.025,1
191,0.504,0.471,0.025,0
192,0.503,0.475,0.022,0
193,0.405,0.572,0.023,1
194,0.328,0.652,0.02,1
195,0.409,0.554,0.037,1
196,0.527,0.437,0.036,0
197,0.484,0.492,0.024,1
198,0.372,0.603,0.025,1
199,0.336,0.602,0.063,1
200,0.628,0.349,0.023,0
201,0.519,0.45,0.031,0
202,0.455,0.521,0.023,1
203,0.441,0.511,0.049,1
204,0.452,0.523,0.025,1
205,0.501,0.482,0.018,0
206,0.364,0.611,0.026,1
207,0.482,0.496,0.022,1
208,0.577,0.4,0.023,0
209,0.614,0.368,0.017,0
210,0.513,0.454,0.033,0
211,0.552,0.427,0.021,0
212,0.525,0.455,0.02,0
213,0.442,0.541,0.017,1
214,0.332,0.648,0.02,1
215,0.328,0.457,0.215,1
216,0.472,0.506,0.023,1
217,0.466,0.516,0.018,1
218,0.442,0.539,0.018,1
219,0.382,0.579,0.039,1
220,0.528,0.448,0.023,0
221,0.398,0.573,0.029,1
222,0.444,0.511,0.045,1
223,0.393,0.585,0.023,1
224,0.52,0.45,0.03,0
225,0.335,0.476,0.189,1
226,0.375,0.507,0.118,1
227,0.39,0.512,0.099,1
228,0.411,0.567,0.023,1
229,0.34,0.536,0.123,1
230,0.429,0.548,0.023,1
231,0.515,0.463,0.021,0
232,0.564,0.418,0.018,0
233,0.374,0.6,0.026,1
234,0.447,0.495,0.058,1
235,0.374,0.608,0.018,1
236,0.449,0.525,0.026,1
237,0.332,0.646,0.022,1
238,0.452,0.521,0.027,1
239,0.497,0.482,0.021,0
240,0.478,0.502,0.02,1
241,0.459,0.519,0.022,1
242,0.543,0.438,0.019,0
243,0.396,0.512,0.091,1
244,0.524,0.457,0.019,0
245,0.358,0.622,0.02,1
246,0.606,0.371,0.023,0
247,0.386,0.59,0.024,1
248,0.463,0.51,0.026,1
249,0.467,0.504,0.028,1
250,0.49,0.483,0.028,0
251,0.475,0.467,0.058,0
252,0.441,0.532,0.026,1
253,0.278,0.634,0.088,1
254,0.524,0.403,0.073,0
255,0.49,0.489,0.021,0
256,0.531,0.438,0.031,0
257,0.538,0.43,0.033,0
