Index,0,1,2,Ensemble_Decision
0,0.48,0.5,0.019,1
1,0.551,0.43,0.02,0
2,0.675,0.305,0.019,0
3,0.433,0.547,0.02,1
4,0.343,0.633,0.024,1
5,0.363,0.617,0.019,1
6,0.337,0.643,0.02,1
7,0.405,0.574,0.022,1
8,0.661,0.32,0.019,0
9,0.551,0.43,0.02,0
10,0.556,0.425,0.019,0
11,0.406,0.575,0.019,1
12,0.628,0.25,0.122,0
13,0.411,0.57,0.019,1
14,0.337,0.643,0.02,1
15,0.489,0.49,0.021,1
16,0.352,0.42,0.228,1
17,0.423,0.557,0.019,1
18,0.637,0.341,0.022,0
19,0.398,0.365,0.237,0
20,0.298,0.632,0.07,1
21,0.283,0.697,0.019,1
22,0.543,0.437,0.019,0
23,0.333,0.647,0.019,1
24,0.296,0.683,0.021,1
25,0.453,0.522,0.025,1
26,0.358,0.568,0.074,1
27,0.526,0.455,0.019,0
28,0.591,0.388,0.021,0
29,0.48,0.5,0.02,1
30,0.508,0.47,0.022,0
31,0.673,0.307,0.02,0
32,0.468,0.512,0.02,1
33,0.442,0.534,0.024,1
34,0.297,0.677,0.026,1
35,0.506,0.472,0.023,0
36,0.591,0.325,0.084,0
37,0.633,0.347,0.019,0
38,0.228,0.751,0.021,1
39,0.355,0.625,0.02,1
40,0.403,0.578,0.019,1
41,0.424,0.554,0.022,1
42,0.663,0.316,0.021,0
43,0.329,0.58,0.091,1
44,0.448,0.533,0.019,1
45,0.331,0.437,0.232,1
46,0.446,0.475,0.08,1
47,0.668,0.308,0.024,0
48,0.283,0.62,0.097,1
49,0.608,0.372,0.02,0
50,0.611,0.37,0.02,0
51,0.505,0.475,0.02,0
52,0.573,0.352,0.075,0
53,0.343,0.524,0.132,1
54,0.39,0.373,0.237,0
55,0.617,0.36,0.023,0
56,0.524,0.455,0.021,0
57,0.618,0.361,0.021,0
58,0.398,0.365,0.237,0
59,0.453,0.528,0.019,1
60,0.548,0.432,0.02,0
61,0.568,0.412,0.019,0
62,0.233,0.747,0.02,1
63,0.506,0.425,0.07,0
64,0.321,0.66,0.019,1
65,0.595,0.326,0.079,0
66,0.44,0.537,0.023,1
