Index,0,1,2,Ensemble_Decision
0,0.607,0.377,0.017,0
1,0.394,0.509,0.097,1
2,0.521,0.466,0.013,0
3,0.559,0.431,0.01,0
4,0.419,0.564,0.017,1
5,0.408,0.583,0.009,1
6,0.385,0.425,0.19,1
7,0.472,0.494,0.034,1
8,0.505,0.482,0.014,0
9,0.51,0.425,0.064,0
10,0.466,0.52,0.014,1
11,0.418,0.562,0.02,1
12,0.45,0.535,0.015,1
13,0.522,0.447,0.03,0
14,0.41,0.574,0.015,1
15,0.575,0.403,0.022,0
16,0.475,0.493,0.032,1
17,0.4,0.578,0.022,1
18,0.552,0.42,0.028,0
19,0.439,0.469,0.092,1
20,0.531,0.436,0.033,0
21,0.48,0.504,0.016,1
22,0.416,0.564,0.02,1
23,0.473,0.51,0.017,1
24,0.366,0.402,0.232,1
25,0.357,0.633,0.01,1
26,0.591,0.394,0.015,0
27,0.451,0.29,0.259,0
28,0.317,0.56,0.122,1
29,0.607,0.376,0.017,0
30,0.394,0.596,0.01,1
31,0.578,0.413,0.009,0
32,0.358,0.62,0.022,1
33,0.633,0.35,0.017,0
34,0.482,0.502,0.015,1
35,0.441,0.538,0.021,1
36,0.418,0.569,0.013,1
37,0.191,0.541,0.268,1
38,0.567,0.419,0.014,0
39,0.52,0.453,0.027,0
40,0.388,0.592,0.02,1
41,0.629,0.361,0.011,0
42,0.388,0.599,0.013,1
43,0.291,0.328,0.382,2
44,0.513,0.46,0.027,0
45,0.359,0.623,0.017,1
46,0.483,0.47,0.047,0
47,0.403,0.581,0.016,1
48,0.534,0.453,0.013,0
49,0.459,0.457,0.084,0
50,0.592,0.383,0.025,0
51,0.467,0.518,0.015,1
52,0.529,0.375,0.096,0
53,0.412,0.479,0.108,1
54,0.527,0.457,0.016,0
55,0.467,0.521,0.012,1
56,0.56,0.428,0.013,0
57,0.416,0.565,0.019,1
58,0.555,0.435,0.009,0
59,0.483,0.476,0.041,0
60,0.405,0.584,0.011,1
61,0.384,0.585,0.031,1
62,0.403,0.505,0.092,1
63,0.505,0.48,0.016,0
64,0.411,0.569,0.02,1
65,0.302,0.565,0.132,1
66,0.442,0.42,0.138,0
67,0.392,0.561,0.047,1
68,0.579,0.401,0.02,0
69,0.468,0.5,0.032,1
70,0.476,0.509,0.015,1
71,0.404,0.502,0.094,1
72,0.56,0.421,0.019,0
73,0.36,0.453,0.187,1
74,0.516,0.465,0.019,0
75,0.339,0.651,0.01,1
76,0.513,0.3,0.187,0
77,0.479,0.508,0.014,1
78,0.397,0.588,0.015,1
79,0.586,0.332,0.082,0
80,0.301,0.686,0.013,1
81,0.374,0.576,0.05,1
82,0.378,0.606,0.016,1
83,0.495,0.491,0.013,0
84,0.48,0.472,0.048,0
85,0.284,0.705,0.012,1
86,0.559,0.428,0.013,0
87,0.616,0.368,0.016,0
88,0.507,0.486,0.007,0
89,0.162,0.83,0.009,1
90,0.531,0.455,0.014,0
91,0.471,0.506,0.023,1
92,0.513,0.471,0.016,0
93,0.532,0.428,0.039,0
94,0.488,0.498,0.014,1
95,0.61,0.349,0.041,0
96,0.498,0.484,0.019,0
97,0.507,0.48,0.013,0
98,0.558,0.428,0.014,0
99,0.489,0.495,0.016,1
100,0.315,0.654,0.031,1
101,0.414,0.411,0.175,0
102,0.477,0.487,0.036,1
103,0.554,0.432,0.013,0
104,0.38,0.612,0.008,1
105,0.409,0.469,0.122,1
106,0.639,0.352,0.009,0
107,0.428,0.459,0.113,1
108,0.551,0.425,0.024,0
109,0.537,0.452,0.012,0
110,0.431,0.551,0.018,1
111,0.4,0.565,0.035,1
112,0.199,0.154,0.647,2
113,0.438,0.533,0.028,1
114,0.511,0.448,0.041,0
115,0.34,0.547,0.114,1
116,0.396,0.589,0.015,1
117,0.434,0.548,0.018,1
118,0.357,0.52,0.123,1
119,0.465,0.522,0.013,1
120,0.368,0.619,0.013,1
121,0.263,0.724,0.013,1
122,0.375,0.551,0.074,1
123,0.481,0.51,0.009,1
124,0.362,0.62,0.017,1
125,0.459,0.531,0.009,1
126,0.316,0.66,0.024,1
127,0.437,0.527,0.036,1
128,0.411,0.533,0.056,1
129,0.422,0.531,0.048,1
130,0.532,0.446,0.022,0
131,0.51,0.398,0.092,0
132,0.346,0.522,0.132,1
133,0.477,0.503,0.02,1
134,0.42,0.559,0.021,1
135,0.42,0.546,0.033,1
136,0.435,0.551,0.013,1
137,0.343,0.568,0.089,1
138,0.356,0.63,0.014,1
139,0.292,0.654,0.053,1
140,0.384,0.6,0.016,1
141,0.436,0.547,0.017,1
142,0.607,0.376,0.017,0
143,0.261,0.699,0.04,1
144,0.49,0.465,0.045,0
145,0.486,0.502,0.012,1
146,0.52,0.465,0.015,0
147,0.37,0.606,0.023,1
148,0.581,0.409,0.01,0
149,0.564,0.411,0.025,0
150,0.604,0.384,0.013,0
151,0.496,0.489,0.016,0
152,0.518,0.472,0.01,0
153,0.423,0.566,0.01,1
154,0.506,0.485,0.01,0
155,0.326,0.464,0.21,1
156,0.494,0.488,0.019,0
157,0.487,0.498,0.015,1
158,0.437,0.458,0.105,1
159,0.301,0.492,0.207,1
160,0.45,0.533,0.016,1
161,0.38,0.602,0.018,1
162,0.548,0.429,0.023,0
163,0.423,0.565,0.012,1
164,0.539,0.444,0.018,0
165,0.396,0.59,0.014,1
166,0.272,0.711,0.017,1
167,0.406,0.58,0.014,1
168,0.567,0.412,0.021,0
169,0.473,0.515,0.012,1
170,0.456,0.523,0.021,1
171,0.491,0.423,0.086,0
172,0.381,0.602,0.017,1
173,0.693,0.292,0.015,0
174,0.399,0.586,0.015,1
175,0.375,0.614,0.012,1
176,0.475,0.509,0.016,1
177,0.356,0.55,0.094,1
178,0.504,0.482,0.014,0
179,0.289,0.503,0.208,1
180,0.564,0.406,0.03,0
181,0.316,0.591,0.092,1
182,0.458,0.522,0.02,1
183,0.544,0.385,0.071,0
184,0.421,0.569,0.01,1
185,0.39,0.595,0.015,1
186,0.447,0.529,0.024,1
187,0.601,0.367,0.032,0
188,0.519,0.436,0.045,0
189,0.538,0.449,0.013,0
190,0.408,0.579,0.014,1
