Index,0,1,2,Ensemble_Decision
0,0.617,0.364,0.019,0
1,0.394,0.505,0.1,1
2,0.476,0.511,0.013,1
3,0.591,0.398,0.011,0
4,0.328,0.653,0.019,1
5,0.437,0.548,0.014,1
6,0.387,0.524,0.09,1
7,0.418,0.444,0.138,1
8,0.336,0.595,0.069,1
9,0.525,0.461,0.013,0
10,0.41,0.577,0.014,1
11,0.527,0.454,0.02,0
12,0.459,0.525,0.016,1
13,0.377,0.589,0.033,1
14,0.461,0.521,0.018,1
15,0.478,0.448,0.073,0
16,0.52,0.447,0.033,0
17,0.387,0.587,0.026,1
18,0.536,0.431,0.033,0
19,0.484,0.471,0.045,0
20,0.491,0.472,0.037,0
21,0.59,0.393,0.017,0
22,0.423,0.555,0.022,1
23,0.597,0.386,0.017,0
24,0.373,0.349,0.278,0
25,0.359,0.627,0.014,1
26,0.645,0.337,0.017,0
27,0.304,0.452,0.244,1
28,0.357,0.518,0.124,1
29,0.568,0.412,0.021,0
30,0.45,0.538,0.012,1
31,0.572,0.415,0.013,0
32,0.511,0.464,0.025,0
33,0.588,0.345,0.067,0
34,0.583,0.401,0.015,0
35,0.447,0.533,0.02,1
36,0.532,0.456,0.011,0
37,0.311,0.537,0.152,1
38,0.565,0.422,0.013,0
39,0.568,0.405,0.027,0
40,0.44,0.541,0.02,1
41,0.533,0.457,0.009,0
42,0.289,0.694,0.017,1
43,0.331,0.27,0.399,2
44,0.408,0.513,0.08,1
45,0.462,0.517,0.02,1
46,0.424,0.529,0.047,1
47,0.4,0.58,0.019,1
48,0.491,0.496,0.013,1
49,0.367,0.599,0.035,1
50,0.436,0.437,0.128,1
51,0.463,0.521,0.016,1
52,0.432,0.52,0.048,1
53,0.51,0.431,0.059,0
54,0.629,0.35,0.021,0
55,0.573,0.413,0.014,0
56,0.62,0.366,0.014,0
57,0.519,0.41,0.071,0
58,0.655,0.334,0.012,0
59,0.592,0.314,0.094,0
60,0.364,0.626,0.01,1
61,0.381,0.583,0.035,1
62,0.403,0.553,0.043,1
63,0.512,0.473,0.015,0
64,0.361,0.569,0.071,1
65,0.31,0.609,0.081,1
66,0.327,0.532,0.141,1
67,0.296,0.654,0.05,1
68,0.492,0.487,0.02,0
69,0.422,0.547,0.032,1
70,0.437,0.546,0.017,1
71,0.508,0.445,0.047,0
72,0.454,0.526,0.021,1
73,0.403,0.419,0.179,1
74,0.525,0.403,0.072,0
75,0.503,0.484,0.013,0
76,0.446,0.365,0.188,0
77,0.373,0.614,0.013,1
78,0.404,0.579,0.017,1
79,0.716,0.202,0.082,0
80,0.331,0.656,0.013,1
81,0.378,0.525,0.098,1
82,0.474,0.508,0.017,1
83,0.405,0.583,0.012,1
84,0.394,0.508,0.098,1
85,0.203,0.785,0.012,1
86,0.444,0.495,0.06,1
87,0.58,0.404,0.016,0
88,0.508,0.482,0.01,0
89,0.144,0.85,0.007,1
90,0.63,0.354,0.017,0
91,0.43,0.543,0.028,1
92,0.507,0.475,0.018,0
93,0.689,0.221,0.09,0
94,0.487,0.497,0.016,1
95,0.688,0.271,0.042,0
96,0.652,0.327,0.021,0
97,0.41,0.575,0.015,1
98,0.357,0.629,0.014,1
99,0.395,0.588,0.017,1
100,0.31,0.658,0.032,1
101,0.322,0.457,0.221,1
102,0.317,0.597,0.086,1
103,0.492,0.493,0.015,1
104,0.426,0.562,0.012,1
105,0.456,0.423,0.12,0
106,0.697,0.294,0.009,0
107,0.429,0.46,0.112,1
108,0.438,0.536,0.027,1
109,0.545,0.443,0.012,0
110,0.48,0.502,0.018,1
111,0.346,0.621,0.032,1
112,0.37,0.238,0.392,2
113,0.487,0.484,0.03,0
114,0.491,0.465,0.044,0
115,0.456,0.478,0.067,1
116,0.399,0.58,0.021,1
117,0.499,0.484,0.017,0
118,0.363,0.562,0.075,1
119,0.459,0.527,0.014,1
120,0.422,0.567,0.01,1
121,0.374,0.615,0.011,1
122,0.522,0.453,0.024,0
123,0.374,0.615,0.01,1
124,0.411,0.571,0.018,1
125,0.34,0.648,0.011,1
126,0.369,0.605,0.026,1
127,0.473,0.49,0.037,1
128,0.309,0.633,0.059,1
129,0.366,0.535,0.099,1
130,0.488,0.439,0.073,0
131,0.569,0.387,0.044,0
132,0.448,0.467,0.084,1
133,0.538,0.441,0.021,0
134,0.421,0.555,0.024,1
135,0.473,0.494,0.032,1
136,0.342,0.644,0.014,1
137,0.497,0.411,0.092,0
138,0.36,0.572,0.067,1
139,0.233,0.711,0.056,1
140,0.49,0.493,0.016,1
141,0.395,0.537,0.068,1
142,0.562,0.419,0.019,0
143,0.339,0.572,0.089,1
144,0.475,0.485,0.04,1
145,0.481,0.504,0.015,1
146,0.519,0.462,0.018,0
147,0.573,0.398,0.029,0
148,0.515,0.474,0.011,0
149,0.561,0.413,0.026,0
150,0.672,0.317,0.012,0
151,0.492,0.492,0.016,0
152,0.465,0.522,0.013,1
