Index,0,1,2,Ensemble_Decision
0,0.556,0.426,0.018,0
1,0.442,0.461,0.097,1
2,0.473,0.515,0.012,1
3,0.561,0.429,0.01,0
4,0.366,0.617,0.017,1
5,0.408,0.581,0.011,1
6,0.432,0.429,0.138,0
7,0.465,0.496,0.039,1
8,0.448,0.536,0.016,1
9,0.581,0.405,0.015,0
10,0.362,0.625,0.013,1
11,0.417,0.564,0.019,1
12,0.452,0.533,0.015,1
13,0.576,0.394,0.03,0
14,0.409,0.576,0.015,1
15,0.476,0.502,0.022,1
16,0.522,0.446,0.032,0
17,0.397,0.58,0.023,1
18,0.446,0.521,0.032,1
19,0.383,0.575,0.042,1
20,0.588,0.379,0.033,0
21,0.531,0.452,0.017,0
22,0.416,0.564,0.019,1
23,0.636,0.348,0.016,0
24,0.361,0.41,0.229,1
25,0.357,0.629,0.014,1
26,0.586,0.4,0.013,0
27,0.455,0.234,0.311,0
28,0.315,0.612,0.073,1
29,0.565,0.418,0.017,0
30,0.442,0.547,0.011,1
31,0.518,0.471,0.011,0
32,0.406,0.572,0.021,1
33,0.637,0.346,0.017,0
34,0.526,0.459,0.015,0
35,0.499,0.481,0.02,0
36,0.428,0.56,0.012,1
37,0.169,0.611,0.22,1
38,0.57,0.416,0.014,0
39,0.615,0.358,0.027,0
40,0.431,0.549,0.02,1
41,0.578,0.412,0.01,0
42,0.385,0.601,0.013,1
43,0.234,0.388,0.378,1
44,0.505,0.467,0.028,0
45,0.402,0.581,0.017,1
46,0.473,0.478,0.049,1
47,0.402,0.582,0.015,1
48,0.534,0.453,0.012,0
49,0.46,0.506,0.033,1
50,0.6,0.373,0.027,0
51,0.47,0.515,0.015,1
52,0.432,0.522,0.046,1
53,0.358,0.535,0.107,1
54,0.576,0.408,0.016,0
55,0.517,0.471,0.012,0
56,0.61,0.377,0.012,0
57,0.517,0.464,0.019,0
58,0.559,0.43,0.011,0
59,0.541,0.419,0.04,0
60,0.402,0.588,0.01,1
61,0.387,0.582,0.032,1
62,0.397,0.511,0.092,1
63,0.461,0.525,0.015,1
64,0.261,0.719,0.02,1
65,0.302,0.568,0.13,1
66,0.437,0.425,0.138,0
67,0.392,0.562,0.047,1
68,0.534,0.447,0.02,0
69,0.567,0.401,0.032,0
70,0.428,0.556,0.015,1
71,0.458,0.496,0.046,1
72,0.552,0.429,0.02,0
73,0.409,0.409,0.182,0
74,0.467,0.514,0.019,1
75,0.44,0.547,0.013,1
76,0.512,0.302,0.186,0
77,0.476,0.511,0.013,1
78,0.448,0.537,0.015,1
79,0.703,0.214,0.084,0
80,0.361,0.627,0.012,1
81,0.425,0.524,0.051,1
82,0.427,0.557,0.016,1
83,0.506,0.483,0.012,0
84,0.432,0.519,0.049,1
85,0.189,0.8,0.011,1
86,0.55,0.439,0.012,0
87,0.524,0.46,0.015,0
88,0.517,0.474,0.009,0
89,0.17,0.82,0.01,1
90,0.584,0.399,0.016,0
91,0.368,0.609,0.023,1
92,0.512,0.47,0.017,0
93,0.701,0.26,0.039,0
94,0.641,0.344,0.015,0
95,0.617,0.336,0.047,0
96,0.496,0.485,0.018,0
