Index,0,1,2,Ensemble_Decision
0,0.385,0.591,0.01,1
1,0.501,0.456,0.039,0
2,0.422,0.537,0.031,1
3,0.427,0.552,0.005,1
4,0.519,0.46,0.015,0
5,0.454,0.517,0.01,1
6,0.549,0.413,0.037,0
7,0.447,0.507,0.052,1
8,0.411,0.35,0.19,0
9,0.495,0.372,0.075,0
10,0.365,0.372,0.315,1
11,0.499,0.479,0.008,0
12,0.342,0.628,0.02,1
13,0.465,0.516,0.005,1
14,0.481,0.502,0.017,1
15,0.34,0.626,0.018,1
16,0.478,0.491,0.026,1
17,0.489,0.486,0.012,0
18,0.461,0.533,0.005,1
19,0.399,0.581,0.01,1
20,0.551,0.214,0.12,0
21,0.55,0.422,0.028,0
22,0.383,0.591,0.023,1
23,0.403,0.577,0.012,1
24,0.44,0.541,0.011,1
25,0.446,0.519,0.03,1
26,0.555,0.432,0.017,0
27,0.531,0.442,0.015,0
28,0.405,0.582,0.019,1
29,0.641,0.335,0.024,0
30,0.445,0.533,0.005,1
31,0.416,0.557,0.027,1
32,0.488,0.485,0.016,0
33,0.491,0.492,0.009,1
34,0.409,0.559,0.037,1
35,0.526,0.457,0.01,0
36,0.368,0.608,0.025,1
37,0.328,0.643,0.003,1
38,0.383,0.552,0.028,1
39,0.412,0.564,0.008,1
40,0.394,0.589,0.006,1
41,0.426,0.561,0.03,1
42,0.326,0.662,0.003,1
43,0.469,0.511,0.019,1
44,0.491,0.474,0.036,0
45,0.521,0.455,0.005,0
46,0.495,0.483,0.009,0
47,0.435,0.465,0.029,1
48,0.457,0.505,0.028,1
49,0.47,0.513,0.002,1
50,0.407,0.563,0.028,1
51,0.498,0.468,0.019,0
52,0.541,0.457,0.002,0
53,0.551,0.445,0.009,0
54,0.435,0.539,0.02,1
55,0.412,0.571,0.004,1
56,0.411,0.57,0.031,1
57,0.326,0.375,0.285,1
58,0.335,0.463,0.163,1
59,0.436,0.557,0.017,1
60,0.469,0.502,0.022,1
61,0.418,0.562,0.005,1
62,0.415,0.572,0.003,1
63,0.404,0.577,0.014,1
64,0.109,0.795,0.062,1
65,0.454,0.524,0.022,1
66,0.433,0.545,0.005,1
67,0.345,0.629,0.009,1
68,0.525,0.401,0.056,0
69,0.28,0.697,0.007,1
70,0.428,0.553,0.005,1
71,0.431,0.543,0.01,1
72,0.463,0.479,0.049,1
73,0.452,0.486,0.038,1
74,0.385,0.489,0.086,1
75,0.473,0.502,0.005,1
76,0.411,0.567,0.016,1
77,0.511,0.477,0.012,0
78,0.472,0.485,0.037,1
79,0.468,0.505,0.007,1
80,0.5,0.476,0.01,0
81,0.472,0.498,0.009,1
82,0.553,0.421,0.016,0
83,0.448,0.523,0.01,1
84,0.467,0.507,0.006,1
85,0.537,0.448,0.015,0
86,0.465,0.509,0.006,1
87,0.399,0.547,0.032,1
88,0.44,0.41,0.15,0
89,0.502,0.472,0.004,0
90,0.545,0.436,0.006,0
91,0.499,0.497,0.005,0
92,0.506,0.477,0.001,0
93,0.473,0.498,0.02,1
94,0.639,0.317,0.019,0
95,0.411,0.574,0.021,1
96,0.582,0.413,0.02,0
97,0.451,0.54,0.002,1
98,0.52,0.478,0.002,0
99,0.35,0.646,0.004,1
100,0.53,0.438,0.033,0
101,0.562,0.428,0.01,0
102,0.577,0.417,0.016,0
103,0.517,0.412,0.013,0
104,0.489,0.484,0.016,0
105,0.461,0.448,0.046,0
106,0.39,0.579,0.031,1
107,0.454,0.526,0.013,1
108,0.432,0.548,0.008,1
109,0.458,0.486,0.04,1
110,0.316,0.662,0.004,1
111,0.611,0.361,0.015,0
112,0.432,0.513,0.031,1
113,0.503,0.469,0.009,0
114,0.483,0.421,0.077,0
115,0.465,0.511,0.006,1
116,0.36,0.426,0.21,1
117,0.508,0.468,0.003,0
118,0.512,0.471,0.027,0
119,0.572,0.416,0.012,0
120,0.49,0.431,0.089,0
121,0.435,0.533,0.031,1
122,0.553,0.43,0.017,0
123,0.438,0.544,0.01,1
124,0.533,0.452,0.015,0
125,0.434,0.524,0.042,1
126,0.406,0.542,0.026,1
127,0.614,0.369,0.008,0
128,0.48,0.517,0.003,1
129,0.441,0.54,0.005,1
130,0.549,0.44,0.005,0
131,0.376,0.507,0.07,1
132,0.425,0.557,0.025,1
133,0.58,0.406,0.024,0
134,0.497,0.492,0.007,0
135,0.479,0.475,0.034,0
136,0.474,0.491,0.034,1
137,0.446,0.52,0.025,1
138,0.429,0.556,0.005,1
139,0.514,0.335,0.134,0
140,0.307,0.492,0.101,1
141,0.485,0.482,0.041,0
142,0.511,0.472,0.017,0
143,0.492,0.476,0.019,0
144,0.345,0.63,0.024,1
145,0.506,0.467,0.027,0
146,0.496,0.457,0.046,0
147,0.435,0.544,0.036,1
148,0.45,0.503,0.046,1
149,0.426,0.548,0.017,1
150,0.419,0.508,0.033,1
151,0.484,0.496,0.011,1
152,0.5,0.472,0.025,0
153,0.438,0.531,0.024,1
154,0.457,0.475,0.068,1
155,0.415,0.53,0.055,1
156,0.352,0.62,0.028,1
157,0.526,0.451,0.023,0
158,0.447,0.53,0.013,1
159,0.593,0.402,0.003,0
160,0.473,0.506,0.004,1
161,0.501,0.459,0.04,0
162,0.568,0.412,0.039,0
163,0.595,0.396,0.009,0
164,0.466,0.505,0.009,1
165,0.365,0.576,0.04,1
166,0.518,0.448,0.03,0
167,0.447,0.535,0.009,1
168,0.38,0.613,0.012,1
169,0.542,0.433,0.025,0
170,0.503,0.483,0.014,0
171,0.436,0.539,0.005,1
172,0.544,0.285,0.152,0
173,0.41,0.345,0.232,0
174,0.215,0.35,0.435,2
175,0.441,0.523,0.047,1
176,0.456,0.515,0.021,1
177,0.448,0.502,0.04,1
178,0.4,0.425,0.1,1
179,0.554,0.419,0.007,0
180,0.496,0.468,0.027,0
181,0.429,0.555,0.03,1
182,0.401,0.536,0.029,1
183,0.417,0.54,0.026,1
184,0.453,0.505,0.013,1
185,0.549,0.435,0.016,0
186,0.536,0.442,0.019,0
187,0.391,0.606,0.003,1
188,0.425,0.565,0.015,1
189,0.494,0.454,0.037,0
190,0.47,0.489,0.044,1
191,0.574,0.275,0.051,0
192,0.459,0.505,0.036,1
193,0.469,0.51,0.018,1
194,0.04,0.9,0.06,1
195,0.418,0.56,0.031,1
196,0.381,0.38,0.282,0
197,0.396,0.557,0.043,1
198,0.391,0.423,0.157,1
199,0.487,0.49,0.007,1
200,0.425,0.556,0.009,1
201,0.519,0.424,0.033,0
202,0.616,0.376,0.009,0
203,0.413,0.284,0.303,0
204,0.542,0.455,0.003,0
205,0.457,0.51,0.028,1
206,0.512,0.478,0.005,0
207,0.495,0.482,0.022,0
208,0.53,0.455,0.015,0
209,0.405,0.569,0.017,1
210,0.471,0.479,0.05,1
211,0.432,0.531,0.02,1
212,0.462,0.513,0.015,1
213,0.554,0.44,0.006,0
214,0.475,0.501,0.01,1
215,0.422,0.492,0.054,1
216,0.418,0.557,0.039,1
217,0.418,0.561,0.013,1
218,0.452,0.53,0.018,1
219,0.478,0.426,0.142,0
220,0.573,0.408,0.019,0
221,0.466,0.511,0.011,1
