Index,0,1,2,Ensemble_Decision
0,0.432,0.544,0.01,1
1,0.491,0.466,0.038,0
2,0.466,0.503,0.031,1
3,0.421,0.56,0.005,1
4,0.526,0.444,0.015,0
5,0.453,0.519,0.01,1
6,0.65,0.312,0.036,0
7,0.496,0.452,0.046,0
8,0.412,0.255,0.28,0
9,0.514,0.431,0.075,0
10,0.363,0.307,0.315,0
11,0.436,0.547,0.008,1
12,0.419,0.561,0.02,1
13,0.468,0.513,0.005,1
14,0.481,0.502,0.017,1
15,0.245,0.726,0.021,1
16,0.478,0.496,0.024,1
17,0.515,0.413,0.026,0
18,0.466,0.529,0.005,1
19,0.392,0.588,0.01,1
20,0.469,0.314,0.205,0
21,0.55,0.422,0.028,0
22,0.383,0.594,0.023,1
23,0.403,0.58,0.012,1
24,0.447,0.526,0.016,1
25,0.519,0.449,0.03,0
26,0.676,0.303,0.021,0
27,0.596,0.389,0.015,0
28,0.506,0.479,0.02,0
29,0.641,0.335,0.024,0
30,0.46,0.523,0.005,1
31,0.416,0.57,0.006,1
32,0.486,0.489,0.016,1
33,0.494,0.487,0.009,0
34,0.541,0.42,0.036,0
35,0.526,0.464,0.01,0
36,0.357,0.619,0.023,1
37,0.344,0.638,0.003,1
38,0.411,0.557,0.025,1
39,0.425,0.556,0.008,1
40,0.414,0.568,0.006,1
41,0.386,0.581,0.027,1
42,0.326,0.662,0.003,1
43,0.453,0.527,0.019,1
44,0.489,0.474,0.037,0
45,0.546,0.435,0.01,0
46,0.434,0.539,0.009,1
47,0.497,0.471,0.023,0
48,0.454,0.509,0.028,1
49,0.477,0.507,0.002,1
50,0.41,0.56,0.028,1
51,0.565,0.416,0.019,0
52,0.541,0.457,0.002,0
53,0.476,0.501,0.009,1
54,0.538,0.433,0.02,0
55,0.417,0.565,0.004,1
56,0.417,0.555,0.014,1
57,0.44,0.375,0.185,0
58,0.335,0.459,0.24,1
59,0.463,0.514,0.017,1
60,0.469,0.507,0.022,1
61,0.416,0.566,0.005,1
62,0.407,0.58,0.003,1
63,0.424,0.549,0.014,1
64,0.109,0.846,0.045,1
65,0.455,0.522,0.023,1
66,0.412,0.566,0.005,1
67,0.34,0.631,0.014,1
68,0.525,0.401,0.054,0
69,0.28,0.697,0.007,1
70,0.424,0.56,0.005,1
71,0.43,0.547,0.01,1
72,0.479,0.472,0.049,0
73,0.493,0.467,0.04,0
74,0.422,0.466,0.085,1
75,0.47,0.507,0.005,1
76,0.46,0.517,0.016,1
77,0.516,0.471,0.012,0
78,0.425,0.555,0.035,1
79,0.461,0.512,0.007,1
80,0.438,0.546,0.01,1
81,0.413,0.558,0.029,1
82,0.555,0.421,0.016,0
83,0.442,0.529,0.01,1
84,0.462,0.515,0.006,1
85,0.448,0.518,0.015,1
86,0.548,0.446,0.006,0
87,0.427,0.514,0.032,1
88,0.44,0.428,0.074,0
89,0.509,0.468,0.004,0
90,0.505,0.488,0.006,0
91,0.473,0.505,0.005,1
92,0.492,0.491,0.001,0
93,0.447,0.523,0.02,1
94,0.644,0.315,0.016,0
95,0.487,0.497,0.016,1
96,0.642,0.333,0.02,0
97,0.48,0.501,0.002,1
98,0.51,0.488,0.002,0
99,0.36,0.636,0.004,1
100,0.476,0.491,0.032,1
101,0.565,0.416,0.01,0
102,0.568,0.396,0.05,0
103,0.479,0.507,0.014,1
104,0.468,0.504,0.016,1
105,0.463,0.447,0.045,0
106,0.325,0.64,0.032,1
107,0.453,0.53,0.013,1
108,0.426,0.554,0.008,1
109,0.461,0.512,0.027,1
110,0.413,0.567,0.004,1
111,0.596,0.391,0.01,0
112,0.423,0.522,0.03,1
113,0.507,0.464,0.009,0
114,0.48,0.426,0.077,0
115,0.511,0.478,0.006,0
116,0.271,0.453,0.146,1
117,0.498,0.48,0.003,0
118,0.538,0.425,0.027,0
119,0.587,0.396,0.012,0
120,0.475,0.446,0.079,0
121,0.432,0.538,0.03,1
122,0.548,0.427,0.017,0
123,0.446,0.539,0.01,1
124,0.55,0.427,0.015,0
125,0.434,0.527,0.039,1
126,0.406,0.582,0.017,1
127,0.506,0.475,0.008,0
128,0.48,0.517,0.003,1
129,0.433,0.551,0.005,1
