Index,0,1,2,Ensemble_Decision
0,0.394,0.567,0.036,1
1,0.429,0.552,0.015,1
2,0.508,0.48,0.005,0
3,0.473,0.498,0.018,1
4,0.428,0.51,0.047,1
5,0.415,0.565,0.014,1
6,0.519,0.438,0.028,0
7,0.483,0.498,0.002,1
8,0.539,0.441,0.02,0
9,0.55,0.442,0.013,0
10,0.366,0.527,0.059,1
11,0.471,0.505,0.004,1
12,0.407,0.461,0.109,1
13,0.495,0.483,0.009,0
14,0.403,0.561,0.036,1
15,0.519,0.463,0.018,0
16,0.373,0.607,0.011,1
17,0.352,0.613,0.028,1
18,0.429,0.551,0.002,1
19,0.465,0.447,0.05,0
20,0.492,0.492,0.007,0
21,0.381,0.586,0.024,1
22,0.399,0.558,0.032,1
23,0.572,0.405,0.023,0
24,0.436,0.544,0.001,1
25,0.339,0.636,0.017,1
26,0.385,0.582,0.022,1
27,0.573,0.417,0.011,0
28,0.555,0.43,0.016,0
29,0.5,0.428,0.115,0
30,0.583,0.398,0.039,0
31,0.442,0.536,0.02,1
32,0.527,0.45,0.04,0
33,0.43,0.526,0.036,1
34,0.473,0.508,0.001,1
35,0.387,0.603,0.014,1
36,0.389,0.608,0.016,1
37,0.439,0.527,0.047,1
38,0.374,0.567,0.03,1
39,0.548,0.431,0.031,0
40,0.391,0.592,0.01,1
41,0.413,0.562,0.013,1
42,0.68,0.293,0.021,0
43,0.399,0.559,0.027,1
44,0.485,0.326,0.15,0
45,0.575,0.397,0.028,0
46,0.39,0.591,0.001,1
47,0.472,0.469,0.059,0
48,0.363,0.623,0.007,1
49,0.443,0.519,0.038,1
50,0.415,0.551,0.029,1
51,0.443,0.527,0.01,1
52,0.313,0.569,0.075,1
53,0.435,0.49,0.155,1
54,0.428,0.55,0.004,1
55,0.494,0.475,0.025,0
56,0.384,0.443,0.193,1
57,0.472,0.501,0.006,1
58,0.388,0.594,0.014,1
59,0.466,0.509,0.005,1
60,0.452,0.523,0.005,1
61,0.508,0.442,0.025,0
62,0.431,0.474,0.059,1
63,0.444,0.491,0.096,1
64,0.484,0.495,0.002,1
65,0.412,0.466,0.13,1
66,0.358,0.617,0.017,1
67,0.531,0.419,0.049,0
68,0.447,0.532,0.017,1
69,0.406,0.56,0.06,1
70,0.319,0.611,0.109,1
71,0.39,0.598,0.005,1
72,0.519,0.469,0.013,0
73,0.462,0.498,0.04,1
74,0.555,0.385,0.031,0
75,0.507,0.467,0.026,0
76,0.466,0.502,0.011,1
77,0.398,0.573,0.041,1
78,0.392,0.59,0.006,1
