Index,0,1,2,Ensemble_Decision
0,0.509,0.474,0.016,0
1,0.446,0.448,0.071,1
2,0.527,0.456,0.008,0
3,0.486,0.495,0.008,1
4,0.409,0.564,0.015,1
5,0.413,0.579,0.008,1
6,0.395,0.45,0.132,1
7,0.444,0.518,0.038,1
8,0.566,0.424,0.005,0
9,0.526,0.453,0.025,0
10,0.544,0.438,0.008,0
11,0.423,0.567,0.014,1
12,0.447,0.526,0.009,1
13,0.45,0.503,0.04,1
14,0.478,0.497,0.004,1
15,0.465,0.511,0.005,1
16,0.462,0.496,0.019,1
17,0.483,0.505,0.008,1
18,0.556,0.43,0.006,0
19,0.423,0.477,0.095,1
20,0.465,0.504,0.016,1
21,0.463,0.513,0.011,1
22,0.334,0.645,0.007,1
23,0.313,0.672,0.003,1
24,0.299,0.546,0.108,1
25,0.426,0.566,0.007,1
26,0.589,0.393,0.008,0
27,0.407,0.198,0.325,0
28,0.416,0.453,0.131,1
29,0.592,0.367,0.027,0
30,0.438,0.543,0.011,1
31,0.541,0.447,0.02,0
32,0.356,0.623,0.004,1
33,0.516,0.451,0.038,0
34,0.431,0.559,0.01,1
35,0.444,0.517,0.038,1
36,0.398,0.595,0.007,1
37,0.28,0.435,0.287,1
38,0.491,0.492,0.013,1
39,0.491,0.445,0.048,0
40,0.356,0.574,0.047,1
41,0.595,0.399,0.003,0
42,0.459,0.515,0.007,1
43,0.238,0.453,0.235,1
44,0.436,0.549,0.006,1
45,0.344,0.634,0.02,1
46,0.538,0.444,0.033,0
47,0.408,0.575,0.008,1
48,0.456,0.518,0.011,1
49,0.478,0.475,0.052,0
50,0.545,0.437,0.009,0
51,0.464,0.503,0.033,1
52,0.583,0.389,0.036,0
53,0.471,0.44,0.076,0
54,0.464,0.512,0.006,1
55,0.426,0.553,0.009,1
56,0.517,0.478,0.005,0
57,0.459,0.526,0.003,1
58,0.477,0.503,0.021,1
59,0.432,0.554,0.008,1
60,0.452,0.528,0.003,1
61,0.466,0.505,0.029,1
62,0.325,0.559,0.05,1
63,0.452,0.527,0.011,1
64,0.449,0.523,0.009,1
65,0.394,0.45,0.207,1
66,0.458,0.444,0.038,0
67,0.431,0.489,0.069,1
68,0.456,0.517,0.012,1
69,0.471,0.494,0.015,1
70,0.421,0.549,0.017,1
71,0.365,0.559,0.066,1
72,0.502,0.466,0.024,0
73,0.362,0.472,0.178,1
74,0.524,0.456,0.018,0
75,0.4,0.591,0.009,1
76,0.548,0.268,0.121,0
77,0.53,0.451,0.008,0
78,0.465,0.497,0.028,1
79,0.45,0.518,0.028,1
80,0.389,0.595,0.013,1
81,0.469,0.505,0.01,1
82,0.432,0.548,0.02,1
83,0.432,0.557,0.006,1
84,0.444,0.509,0.039,1
85,0.454,0.52,0.006,1
86,0.461,0.513,0.005,1
87,0.471,0.511,0.012,1
88,0.477,0.506,0.003,1
89,0.321,0.662,0.01,1
90,0.438,0.553,0.008,1
91,0.531,0.458,0.007,0
92,0.429,0.556,0.02,1
93,0.421,0.565,0.019,1
94,0.461,0.509,0.018,1
95,0.465,0.515,0.02,1
