Index,0,1,2,Ensemble_Decision
0,0.465,0.495,0.019,1
1,0.464,0.495,0.02,1
2,0.33,0.649,0.018,1
3,0.462,0.369,0.121,0
4,0.53,0.449,0.021,0
5,0.33,0.649,0.021,1
6,0.465,0.495,0.019,1
7,0.465,0.495,0.019,1
8,0.43,0.549,0.021,1
9,0.63,0.349,0.018,0
10,0.464,0.448,0.121,0
11,0.465,0.495,0.019,1
12,0.462,0.499,0.018,1
13,0.461,0.349,0.121,0
14,0.631,0.347,0.021,0
15,0.464,0.447,0.071,0
16,0.534,0.447,0.019,0
17,0.574,0.406,0.02,0
18,0.434,0.544,0.021,1
19,0.534,0.446,0.019,0
20,0.46,0.496,0.021,1
21,0.451,0.508,0.02,1
22,0.428,0.448,0.124,1
23,0.43,0.449,0.121,1
24,0.463,0.495,0.021,1
25,0.44,0.517,0.021,1
26,0.533,0.446,0.021,0
27,0.533,0.449,0.018,0
28,0.452,0.499,0.021,1
29,0.631,0.347,0.021,0
30,0.43,0.551,0.018,1
31,0.634,0.346,0.019,0
32,0.461,0.496,0.021,1
33,0.462,0.499,0.018,1
34,0.464,0.448,0.046,0
35,0.458,0.503,0.019,1
36,0.329,0.653,0.018,1
37,0.322,0.656,0.021,1
38,0.43,0.549,0.018,1
39,0.533,0.449,0.018,0
40,0.235,0.744,0.018,1
41,0.23,0.649,0.039,1
42,0.634,0.346,0.02,0
43,0.53,0.449,0.031,0
44,0.534,0.446,0.019,0
45,0.33,0.649,0.021,1
46,0.447,0.502,0.021,1
47,0.53,0.447,0.021,0
48,0.534,0.448,0.018,0
49,0.23,0.649,0.051,1
50,0.465,0.447,0.046,0
51,0.428,0.449,0.121,1
52,0.428,0.549,0.021,1
53,0.454,0.499,0.021,1
54,0.462,0.495,0.031,1
55,0.728,0.251,0.02,0
56,0.371,0.498,0.125,1
57,0.459,0.501,0.018,1
58,0.462,0.449,0.039,0
59,0.43,0.549,0.021,1
60,0.33,0.649,0.019,1
61,0.43,0.549,0.021,1
62,0.235,0.744,0.019,1
63,0.43,0.55,0.018,1
64,0.53,0.449,0.021,0
65,0.465,0.495,0.019,1
66,0.321,0.651,0.021,1
67,0.43,0.495,0.042,1
68,0.63,0.349,0.021,0
69,0.453,0.499,0.021,1
70,0.36,0.619,0.019,1
71,0.533,0.446,0.021,0
72,0.465,0.496,0.121,1
73,0.456,0.504,0.019,1
74,0.462,0.495,0.021,1
75,0.423,0.558,0.019,1
76,0.454,0.349,0.126,0
77,0.733,0.249,0.018,0
78,0.33,0.649,0.021,1
79,0.321,0.651,0.021,1
80,0.46,0.497,0.021,1
81,0.431,0.507,0.062,1
82,0.534,0.446,0.019,0
83,0.33,0.649,0.018,1
84,0.534,0.447,0.019,0
85,0.43,0.346,0.221,0
86,0.532,0.449,0.018,0
87,0.43,0.549,0.019,1
88,0.43,0.549,0.018,1
89,0.321,0.651,0.021,1
90,0.42,0.56,0.02,1
91,0.33,0.649,0.021,1
92,0.53,0.449,0.019,0
93,0.53,0.347,0.122,0
94,0.457,0.503,0.019,1
95,0.437,0.505,0.021,1
96,0.43,0.549,0.019,1
97,0.43,0.549,0.019,1
98,0.464,0.496,0.019,1
99,0.33,0.652,0.018,1
100,0.308,0.67,0.021,1
101,0.465,0.495,0.019,1
102,0.223,0.75,0.021,1
103,0.459,0.497,0.021,1
104,0.471,0.496,0.021,1
105,0.534,0.446,0.02,0
106,0.73,0.248,0.021,0
107,0.33,0.649,0.019,1
