Index,0,1,2,Ensemble_Decision
0,0.425,0.492,0.064,1
1,0.49,0.396,0.114,0
2,0.468,0.513,0.019,1
3,0.49,0.478,0.03,0
4,0.406,0.54,0.054,1
5,0.454,0.516,0.024,1
6,0.466,0.499,0.035,1
7,0.445,0.527,0.018,1
8,0.565,0.428,0.007,0
9,0.368,0.629,0.003,1
10,0.409,0.566,0.012,1
11,0.447,0.523,0.01,1
12,0.546,0.415,0.035,0
13,0.442,0.512,0.061,1
14,0.472,0.497,0.019,1
15,0.422,0.558,0.011,1
16,0.422,0.556,0.02,1
17,0.445,0.537,0.023,1
18,0.541,0.439,0.031,0
19,0.602,0.359,0.03,0
20,0.491,0.46,0.036,0
21,0.383,0.43,0.267,1
22,0.435,0.54,0.014,1
23,0.416,0.537,0.041,1
24,0.489,0.45,0.053,0
25,0.406,0.487,0.046,1
26,0.39,0.506,0.132,1
27,0.451,0.515,0.025,1
28,0.425,0.554,0.021,1
29,0.425,0.557,0.001,1
30,0.426,0.553,0.03,1
31,0.554,0.4,0.034,0
32,0.475,0.489,0.026,1
33,0.374,0.575,0.034,1
34,0.554,0.431,0.025,0
35,0.583,0.397,0.017,0
36,0.34,0.589,0.031,1
37,0.421,0.548,0.015,1
38,0.46,0.52,0.017,1
39,0.435,0.547,0.019,1
40,0.429,0.53,0.034,1
41,0.359,0.59,0.033,1
42,0.456,0.492,0.043,1
43,0.423,0.476,0.099,1
44,0.431,0.542,0.026,1
45,0.589,0.391,0.014,0
46,0.377,0.573,0.057,1
47,0.455,0.509,0.026,1
48,0.739,0.233,0.019,0
49,0.468,0.505,0.038,1
50,0.413,0.566,0.014,1
51,0.561,0.411,0.028,0
52,0.382,0.547,0.033,1
53,0.328,0.648,0.015,1
54,0.409,0.469,0.109,1
55,0.479,0.406,0.08,0
56,0.442,0.533,0.026,1
57,0.569,0.419,0.018,0
58,0.351,0.626,0.023,1
59,0.468,0.494,0.032,1
60,0.456,0.513,0.03,1
61,0.533,0.43,0.017,0
62,0.456,0.413,0.086,0
63,0.604,0.36,0.036,0
64,0.434,0.505,0.062,1
65,0.482,0.48,0.034,0
66,0.486,0.482,0.018,0
67,0.591,0.374,0.034,0
68,0.494,0.477,0.032,0
69,0.463,0.504,0.011,1
70,0.438,0.533,0.008,1
71,0.442,0.473,0.052,1
72,0.507,0.426,0.066,0
73,0.525,0.468,0.007,0
74,0.418,0.555,0.025,1
75,0.416,0.563,0.026,1
76,0.528,0.445,0.026,0
77,0.525,0.463,0.017,0
78,0.527,0.419,0.031,0
79,0.444,0.401,0.148,0
80,0.438,0.542,0.008,1
81,0.294,0.7,0.006,1
82,0.439,0.531,0.014,1
83,0.58,0.394,0.025,0
84,0.466,0.507,0.017,1
85,0.539,0.437,0.031,0
86,0.436,0.535,0.018,1
87,0.495,0.478,0.007,0
88,0.445,0.545,0.001,1
89,0.496,0.402,0.117,0
90,0.421,0.54,0.024,1
91,0.461,0.492,0.026,1
92,0.379,0.597,0.012,1
93,0.373,0.607,0.006,1
94,0.676,0.295,0.02,0
95,0.457,0.522,0.045,1
96,0.369,0.58,0.04,1
97,0.452,0.519,0.01,1
98,0.469,0.511,0.017,1
99,0.364,0.605,0.021,1
100,0.499,0.473,0.028,0
101,0.394,0.539,0.024,1
102,0.58,0.39,0.031,0
103,0.538,0.436,0.023,0
104,0.403,0.584,0.017,1
105,0.482,0.497,0.021,1
106,0.44,0.51,0.041,1
107,0.477,0.506,0.016,1
108,0.461,0.5,0.027,1
109,0.436,0.513,0.037,1
110,0.359,0.581,0.061,1
111,0.626,0.353,0.049,0
112,0.51,0.448,0.038,0
113,0.581,0.398,0.022,0
114,0.43,0.514,0.056,1
115,0.443,0.45,0.118,1
116,0.525,0.413,0.045,0
117,0.612,0.366,0.017,0
118,0.506,0.462,0.026,0
119,0.323,0.671,0.005,1
120,0.442,0.517,0.041,1
121,0.57,0.404,0.047,0
122,0.417,0.565,0.012,1
123,0.442,0.541,0.037,1
124,0.265,0.735,0.0,1
125,0.412,0.558,0.021,1
126,0.538,0.445,0.018,0
127,0.417,0.563,0.009,1
128,0.392,0.602,0.011,1
129,0.377,0.602,0.009,1
130,0.465,0.496,0.02,1
131,0.478,0.447,0.031,0
132,0.408,0.567,0.031,1
133,0.569,0.423,0.018,0
134,0.354,0.575,0.037,1
135,0.382,0.611,0.007,1
136,0.529,0.395,0.076,0
137,0.439,0.506,0.029,1
138,0.561,0.419,0.036,0
139,0.409,0.553,0.056,1
140,0.554,0.439,0.007,0
141,0.434,0.538,0.012,1
142,0.55,0.428,0.031,0
143,0.566,0.381,0.039,0
144,0.293,0.581,0.121,1
