Index,0,1,2,Ensemble_Decision
0,0.0,1.0,0.0,1
1,0.25,0.75,0.0,1
2,1.0,0.0,0.0,0
3,0.5,0.5,0.0,0
4,0.25,0.75,0.0,1
5,0.0,1.0,0.0,1
6,0.75,0.25,0.0,0
7,0.5,0.5,0.0,0
8,1.0,0.0,0.0,0
9,0.75,0.25,0.0,0
10,0.0,1.0,0.0,1
11,0.25,0.75,0.0,1
12,0.5,0.5,0.0,0
13,0.5,0.5,0.0,0
14,0.0,1.0,0.0,1
15,0.75,0.25,0.0,0
16,0.0,1.0,0.0,1
17,0.0,1.0,0.0,1
18,0.25,0.75,0.0,1
19,0.5,0.5,0.0,0
20,0.5,0.5,0.0,0
21,0.0,1.0,0.0,1
22,0.0,1.0,0.0,1
23,0.5,0.5,0.0,0
24,0.0,1.0,0.0,1
25,0.0,1.0,0.0,1
26,0.0,1.0,0.0,1
27,1.0,0.0,0.0,0
28,0.5,0.5,0.0,0
29,0.75,0.25,0.0,0
30,1.0,0.0,0.0,0
31,0.0,1.0,0.0,1
32,0.75,0.25,0.0,0
33,0.0,1.0,0.0,1
34,0.5,0.5,0.0,0
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,0.0,1.0,0.0,1
38,0.0,1.0,0.0,1
39,0.75,0.25,0.0,0
40,0.0,1.0,0.0,1
41,0.5,0.5,0.0,0
42,1.0,0.0,0.0,0
43,0.0,1.0,0.0,1
44,0.75,0.0,0.25,0
45,1.0,0.0,0.0,0
46,0.0,1.0,0.0,1
47,0.5,0.5,0.0,0
48,0.0,1.0,0.0,1
49,0.25,0.75,0.0,1
50,0.0,1.0,0.0,1
51,0.25,0.75,0.0,1
52,0.0,1.0,0.0,1
53,0.25,0.75,0.0,1
54,0.0,1.0,0.0,1
55,0.75,0.25,0.0,0
56,0.5,0.5,0.0,0
57,0.25,0.75,0.0,1
58,0.0,1.0,0.0,1
59,0.25,0.75,0.0,1
60,0.25,0.75,0.0,1
61,0.75,0.25,0.0,0
62,0.25,0.75,0.0,1
63,0.5,0.5,0.0,0
64,0.5,0.5,0.0,0
65,0.25,0.75,0.0,1
66,0.0,1.0,0.0,1
67,1.0,0.0,0.0,0
68,0.25,0.75,0.0,1
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.5,0.5,0.0,0
72,0.5,0.5,0.0,0
73,0.25,0.75,0.0,1
74,1.0,0.0,0.0,0
75,0.5,0.5,0.0,0
76,0.25,0.75,0.0,1
77,0.0,1.0,0.0,1
78,0.0,1.0,0.0,1
79,0.5,0.5,0.0,0
80,0.0,1.0,0.0,1
81,0.5,0.5,0.0,0
82,0.25,0.75,0.0,1
83,1.0,0.0,0.0,0
84,0.5,0.5,0.0,0
85,0.25,0.75,0.0,1
86,0.5,0.5,0.0,0
87,0.25,0.75,0.0,1
88,0.5,0.5,0.0,0
89,0.25,0.75,0.0,1
90,0.0,1.0,0.0,1
91,0.75,0.25,0.0,0
92,0.5,0.5,0.0,0
93,0.25,0.75,0.0,1
94,0.75,0.25,0.0,0
95,0.75,0.25,0.0,0
96,0.5,0.5,0.0,0
97,0.5,0.5,0.0,0
98,0.25,0.75,0.0,1
99,0.75,0.25,0.0,0
100,0.75,0.25,0.0,0
101,0.25,0.75,0.0,1
102,0.0,1.0,0.0,1
103,0.0,1.0,0.0,1
104,1.0,0.0,0.0,0
105,0.0,1.0,0.0,1
106,0.75,0.25,0.0,0
107,0.5,0.5,0.0,0
108,0.75,0.25,0.0,0
109,1.0,0.0,0.0,0
110,0.25,0.75,0.0,1
111,0.0,1.0,0.0,1
112,0.5,0.5,0.0,0
113,1.0,0.0,0.0,0
114,0.0,1.0,0.0,1
115,0.5,0.5,0.0,0
116,0.5,0.5,0.0,0
117,0.0,1.0,0.0,1
118,0.0,1.0,0.0,1
119,0.75,0.25,0.0,0
120,0.5,0.5,0.0,0
121,0.0,1.0,0.0,1
122,0.0,1.0,0.0,1
123,0.75,0.25,0.0,0
124,0.5,0.5,0.0,0
125,0.25,0.75,0.0,1
126,0.5,0.5,0.0,0
127,0.75,0.25,0.0,0
128,0.25,0.75,0.0,1
129,0.0,1.0,0.0,1
130,0.75,0.25,0.0,0
131,0.0,1.0,0.0,1
132,0.5,0.5,0.0,0
133,0.25,0.75,0.0,1
134,0.5,0.5,0.0,0
135,0.0,1.0,0.0,1
136,0.25,0.75,0.0,1
137,0.25,0.75,0.0,1
138,0.25,0.75,0.0,1
139,0.75,0.25,0.0,0
140,0.5,0.5,0.0,0
141,0.25,0.75,0.0,1
142,0.5,0.5,0.0,0
143,0.5,0.5,0.0,0
144,0.5,0.5,0.0,0
145,0.25,0.75,0.0,1
146,1.0,0.0,0.0,0
147,0.25,0.75,0.0,1
148,0.75,0.25,0.0,0
149,0.25,0.75,0.0,1
150,0.5,0.5,0.0,0
151,0.5,0.5,0.0,0
152,0.25,0.75,0.0,1
153,0.5,0.5,0.0,0
154,0.5,0.5,0.0,0
155,0.75,0.25,0.0,0
156,0.5,0.5,0.0,0
157,0.25,0.75,0.0,1
158,0.5,0.5,0.0,0
159,0.5,0.5,0.0,0
160,0.0,1.0,0.0,1
161,0.5,0.5,0.0,0
162,0.0,1.0,0.0,1
163,0.5,0.5,0.0,0
164,0.5,0.5,0.0,0
165,0.25,0.75,0.0,1
166,0.75,0.25,0.0,0
167,0.5,0.5,0.0,0
168,0.25,0.75,0.0,1
169,0.75,0.25,0.0,0
170,0.5,0.5,0.0,0
171,0.25,0.75,0.0,1
172,0.75,0.25,0.0,0
173,0.5,0.5,0.0,0
174,0.25,0.75,0.0,1
175,0.0,0.75,0.25,1
176,0.25,0.75,0.0,1
177,0.5,0.5,0.0,0
178,0.75,0.25,0.0,0
179,0.5,0.5,0.0,0
180,0.5,0.5,0.0,0
181,0.5,0.5,0.0,0
182,0.5,0.5,0.0,0
183,0.5,0.5,0.0,0
184,0.25,0.75,0.0,1
185,0.0,1.0,0.0,1
186,0.25,0.75,0.0,1
187,0.5,0.5,0.0,0
188,0.5,0.5,0.0,0
189,0.25,0.75,0.0,1
190,0.5,0.5,0.0,0
191,0.5,0.5,0.0,0
192,0.25,0.75,0.0,1
193,0.0,1.0,0.0,1
194,0.0,1.0,0.0,1
195,0.25,0.75,0.0,1
196,0.25,0.75,0.0,1
197,0.25,0.75,0.0,1
198,0.0,1.0,0.0,1
199,0.0,0.75,0.25,1
200,0.5,0.5,0.0,0
201,1.0,0.0,0.0,0
202,0.5,0.5,0.0,0
203,0.75,0.25,0.0,0
204,0.0,1.0,0.0,1
205,0.0,0.5,0.5,1
206,0.0,0.75,0.25,1
207,0.0,1.0,0.0,1
208,0.5,0.5,0.0,0
209,0.5,0.5,0.0,0
210,0.5,0.5,0.0,0
211,0.75,0.25,0.0,0
212,0.0,1.0,0.0,1
213,0.25,0.75,0.0,1
214,0.5,0.5,0.0,0
215,0.25,0.75,0.0,1
216,0.0,1.0,0.0,1
217,0.75,0.25,0.0,0
218,1.0,0.0,0.0,0
219,0.75,0.25,0.0,0
220,0.5,0.5,0.0,0
221,0.25,0.75,0.0,1
222,0.0,1.0,0.0,1
223,1.0,0.0,0.0,0
224,0.0,1.0,0.0,1
225,1.0,0.0,0.0,0
226,0.0,1.0,0.0,1
227,0.25,0.75,0.0,1
228,1.0,0.0,0.0,0
229,0.0,1.0,0.0,1
230,1.0,0.0,0.0,0
231,0.0,1.0,0.0,1
232,0.5,0.5,0.0,0
233,0.0,1.0,0.0,1
234,0.25,0.75,0.0,1
235,0.5,0.5,0.0,0
236,0.5,0.5,0.0,0
237,0.25,0.75,0.0,1
238,0.25,0.75,0.0,1
239,0.25,0.75,0.0,1
240,0.5,0.5,0.0,0
241,0.25,0.75,0.0,1
242,0.5,0.5,0.0,0
243,0.5,0.5,0.0,0
244,0.75,0.0,0.25,0
245,0.25,0.75,0.0,1
246,0.75,0.25,0.0,0
247,1.0,0.0,0.0,0
248,0.5,0.5,0.0,0
249,0.25,0.75,0.0,1
250,0.0,1.0,0.0,1
251,0.5,0.5,0.0,0
252,1.0,0.0,0.0,0
253,0.5,0.5,0.0,0
254,1.0,0.0,0.0,0
255,0.25,0.75,0.0,1
256,0.25,0.75,0.0,1
257,0.75,0.25,0.0,0
258,0.75,0.25,0.0,0
259,0.25,0.75,0.0,1
260,0.0,1.0,0.0,1
261,0.0,1.0,0.0,1
262,0.5,0.5,0.0,0
263,0.5,0.5,0.0,0
264,0.75,0.25,0.0,0
265,0.5,0.5,0.0,0
266,0.0,1.0,0.0,1
267,1.0,0.0,0.0,0
268,0.75,0.25,0.0,0
269,0.25,0.75,0.0,1
270,0.5,0.5,0.0,0
271,0.0,1.0,0.0,1
272,0.0,1.0,0.0,1
273,0.5,0.5,0.0,0
274,1.0,0.0,0.0,0
275,0.0,1.0,0.0,1
276,0.0,1.0,0.0,1
277,0.25,0.75,0.0,1
278,0.25,0.75,0.0,1
279,0.5,0.5,0.0,0
280,1.0,0.0,0.0,0
281,0.5,0.5,0.0,0
282,0.5,0.5,0.0,0
283,0.75,0.25,0.0,0
284,0.5,0.5,0.0,0
285,0.5,0.5,0.0,0
286,0.5,0.5,0.0,0
287,0.5,0.5,0.0,0
288,0.5,0.5,0.0,0
289,0.25,0.75,0.0,1
290,0.5,0.5,0.0,0
291,0.5,0.5,0.0,0
292,0.75,0.25,0.0,0
293,0.5,0.5,0.0,0
294,0.0,1.0,0.0,1
295,0.0,1.0,0.0,1
296,0.0,1.0,0.0,1
297,1.0,0.0,0.0,0
298,0.75,0.25,0.0,0
299,0.5,0.5,0.0,0
300,0.0,1.0,0.0,1
301,0.0,1.0,0.0,1
302,0.5,0.5,0.0,0
303,0.0,1.0,0.0,1
304,0.5,0.5,0.0,0
305,0.25,0.75,0.0,1
306,0.75,0.25,0.0,0
307,0.0,1.0,0.0,1
308,0.0,1.0,0.0,1
309,1.0,0.0,0.0,0
310,0.25,0.75,0.0,1
311,0.5,0.5,0.0,0
312,0.25,0.75,0.0,1
313,0.0,1.0,0.0,1
314,0.0,1.0,0.0,1
315,0.5,0.5,0.0,0
316,0.75,0.25,0.0,0
317,0.0,1.0,0.0,1
318,1.0,0.0,0.0,0
319,0.25,0.75,0.0,1
320,0.75,0.25,0.0,0
321,0.0,1.0,0.0,1
322,0.75,0.0,0.25,0
323,0.0,1.0,0.0,1
324,0.5,0.5,0.0,0
325,0.0,1.0,0.0,1
326,0.25,0.75,0.0,1
327,0.5,0.5,0.0,0
328,0.5,0.5,0.0,0
329,0.25,0.75,0.0,1
330,1.0,0.0,0.0,0
331,0.25,0.75,0.0,1
332,0.5,0.5,0.0,0
333,0.25,0.75,0.0,1
334,0.0,1.0,0.0,1
335,0.25,0.75,0.0,1
336,0.75,0.25,0.0,0
337,1.0,0.0,0.0,0
338,0.75,0.25,0.0,0
339,1.0,0.0,0.0,0
340,0.0,1.0,0.0,1
341,0.5,0.5,0.0,0
342,0.5,0.5,0.0,0
343,0.0,1.0,0.0,1
344,0.5,0.5,0.0,0
345,0.0,1.0,0.0,1
346,0.25,0.75,0.0,1
347,0.25,0.75,0.0,1
348,0.0,1.0,0.0,1
349,0.5,0.5,0.0,0
350,0.0,1.0,0.0,1
351,0.5,0.5,0.0,0
352,0.0,1.0,0.0,1
353,0.0,1.0,0.0,1
354,0.75,0.25,0.0,0
355,0.25,0.75,0.0,1
356,0.0,1.0,0.0,1
357,0.25,0.75,0.0,1
358,0.25,0.75,0.0,1
359,0.25,0.75,0.0,1
360,0.25,0.75,0.0,1
361,0.25,0.75,0.0,1
362,0.75,0.25,0.0,0
363,0.25,0.75,0.0,1
364,0.25,0.75,0.0,1
365,0.25,0.75,0.0,1
366,0.75,0.25,0.0,0
367,0.25,0.75,0.0,1
368,0.25,0.75,0.0,1
369,0.0,1.0,0.0,1
370,0.25,0.75,0.0,1
371,0.25,0.75,0.0,1
372,0.0,1.0,0.0,1
373,0.0,1.0,0.0,1
374,0.0,1.0,0.0,1
375,0.0,1.0,0.0,1
376,1.0,0.0,0.0,0
377,0.75,0.25,0.0,0
378,0.25,0.75,0.0,1
379,1.0,0.0,0.0,0
380,0.25,0.75,0.0,1
381,0.0,1.0,0.0,1
382,0.75,0.25,0.0,0
383,0.25,0.75,0.0,1
384,0.25,0.75,0.0,1
385,0.25,0.75,0.0,1
386,0.25,0.75,0.0,1
387,0.0,1.0,0.0,1
388,0.0,1.0,0.0,1
