Index,0,1,2,Ensemble_Decision
0,0.0,1.0,0.0,1
1,0.5,0.5,0.0,0
2,1.0,0.0,0.0,0
3,0.25,0.75,0.0,1
4,0.5,0.5,0.0,0
5,0.5,0.5,0.0,0
6,0.25,0.75,0.0,1
7,0.5,0.5,0.0,0
8,0.5,0.5,0.0,0
9,0.5,0.5,0.0,0
10,0.25,0.75,0.0,1
11,0.5,0.5,0.0,0
12,1.0,0.0,0.0,0
13,0.25,0.75,0.0,1
14,0.0,1.0,0.0,1
15,0.0,1.0,0.0,1
16,0.75,0.25,0.0,0
17,0.25,0.75,0.0,1
18,0.5,0.5,0.0,0
19,0.5,0.5,0.0,0
20,0.25,0.75,0.0,1
21,0.75,0.25,0.0,0
22,0.5,0.5,0.0,0
23,0.75,0.25,0.0,0
24,0.25,0.75,0.0,1
25,0.25,0.75,0.0,1
26,0.75,0.25,0.0,0
27,0.75,0.25,0.0,0
28,0.25,0.75,0.0,1
29,0.5,0.5,0.0,0
30,0.25,0.75,0.0,1
31,0.25,0.75,0.0,1
32,0.25,0.75,0.0,1
33,0.0,1.0,0.0,1
34,0.25,0.75,0.0,1
35,0.5,0.5,0.0,0
36,0.0,1.0,0.0,1
37,0.75,0.25,0.0,0
38,0.25,0.75,0.0,1
39,0.25,0.75,0.0,1
40,0.0,1.0,0.0,1
41,0.25,0.75,0.0,1
42,0.25,0.75,0.0,1
43,0.25,0.75,0.0,1
44,0.5,0.5,0.0,0
45,0.5,0.5,0.0,0
46,0.5,0.5,0.0,0
47,0.25,0.75,0.0,1
48,0.0,1.0,0.0,1
49,0.75,0.25,0.0,0
50,0.25,0.75,0.0,1
51,0.75,0.25,0.0,0
52,0.25,0.75,0.0,1
53,0.25,0.75,0.0,1
54,0.0,1.0,0.0,1
55,0.5,0.5,0.0,0
56,0.5,0.5,0.0,0
57,0.25,0.75,0.0,1
58,0.75,0.25,0.0,0
59,0.75,0.25,0.0,0
60,0.5,0.5,0.0,0
61,0.5,0.5,0.0,0
62,0.5,0.5,0.0,0
63,0.5,0.5,0.0,0
64,0.75,0.25,0.0,0
65,0.5,0.5,0.0,0
66,0.25,0.75,0.0,1
67,0.5,0.5,0.0,0
68,0.5,0.5,0.0,0
69,0.5,0.5,0.0,0
70,0.5,0.5,0.0,0
71,0.25,0.75,0.0,1
72,1.0,0.0,0.0,0
73,0.5,0.5,0.0,0
74,0.0,1.0,0.0,1
75,0.25,0.75,0.0,1
76,1.0,0.0,0.0,0
77,0.25,0.75,0.0,1
78,0.5,0.5,0.0,0
79,0.75,0.25,0.0,0
80,0.25,0.75,0.0,1
81,0.25,0.75,0.0,1
82,0.0,1.0,0.0,1
83,0.75,0.0,0.25,0
84,0.25,0.75,0.0,1
85,0.25,0.75,0.0,1
86,1.0,0.0,0.0,0
87,0.5,0.25,0.25,0
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.25,0.75,0.0,1
91,0.0,1.0,0.0,1
92,0.0,1.0,0.0,1
93,0.0,0.5,0.5,1
94,0.0,1.0,0.0,1
95,0.5,0.5,0.0,0
96,0.25,0.75,0.0,1
97,1.0,0.0,0.0,0
98,0.75,0.25,0.0,0
99,0.75,0.25,0.0,0
100,1.0,0.0,0.0,0
101,0.75,0.25,0.0,0
102,0.5,0.5,0.0,0
103,0.5,0.5,0.0,0
104,0.25,0.75,0.0,1
105,0.75,0.25,0.0,0
106,0.5,0.5,0.0,0
107,0.25,0.75,0.0,1
108,0.5,0.5,0.0,0
109,0.75,0.25,0.0,0
110,0.75,0.0,0.25,0
111,0.75,0.25,0.0,0
112,0.5,0.0,0.5,0
113,0.25,0.75,0.0,1
114,0.25,0.75,0.0,1
115,0.0,1.0,0.0,1
116,0.5,0.5,0.0,0
117,0.25,0.75,0.0,1
118,0.5,0.5,0.0,0
119,0.5,0.5,0.0,0
120,0.0,1.0,0.0,1
121,0.5,0.5,0.0,0
122,0.25,0.75,0.0,1
123,0.0,1.0,0.0,1
124,0.0,1.0,0.0,1
125,0.75,0.25,0.0,0
126,0.0,1.0,0.0,1
127,0.5,0.5,0.0,0
128,0.25,0.75,0.0,1
129,0.25,0.75,0.0,1
130,0.0,1.0,0.0,1
131,0.75,0.25,0.0,0
132,0.5,0.5,0.0,0
133,0.5,0.5,0.0,0
134,0.25,0.75,0.0,1
135,0.5,0.5,0.0,0
136,1.0,0.0,0.0,0
137,0.0,1.0,0.0,1
138,0.25,0.75,0.0,1
139,0.75,0.25,0.0,0
140,0.0,1.0,0.0,1
141,0.25,0.75,0.0,1
142,0.0,1.0,0.0,1
143,0.25,0.75,0.0,1
144,0.5,0.5,0.0,0
145,0.5,0.5,0.0,0
146,0.25,0.5,0.25,1
147,0.0,1.0,0.0,1
148,0.25,0.75,0.0,1
149,0.5,0.5,0.0,0
150,0.25,0.75,0.0,1
151,0.0,1.0,0.0,1
152,0.0,1.0,0.0,1
153,0.75,0.25,0.0,0
154,1.0,0.0,0.0,0
155,0.25,0.75,0.0,1
156,0.0,1.0,0.0,1
157,0.25,0.75,0.0,1
158,0.0,1.0,0.0,1
159,0.25,0.75,0.0,1
160,0.5,0.5,0.0,0
161,0.25,0.75,0.0,1
162,0.5,0.5,0.0,0
163,0.25,0.75,0.0,1
164,0.5,0.5,0.0,0
165,0.25,0.75,0.0,1
166,0.25,0.5,0.25,1
167,0.0,1.0,0.0,1
168,0.0,1.0,0.0,1
169,0.5,0.5,0.0,0
170,0.75,0.25,0.0,0
171,0.25,0.75,0.0,1
172,0.5,0.5,0.0,0
173,0.0,0.25,0.75,2
174,0.0,0.75,0.25,1
175,0.25,0.75,0.0,1
