Index,0,1,2,Ensemble_Decision
0,0.25,0.75,0.0,1
1,0.25,0.75,0.0,1
2,0.5,0.5,0.0,0
3,0.25,0.75,0.0,1
4,0.0,1.0,0.0,1
5,0.0,1.0,0.0,1
6,0.0,1.0,0.0,1
7,0.25,0.75,0.0,1
8,0.5,0.5,0.0,0
9,0.5,0.5,0.0,0
10,0.5,0.5,0.0,0
11,0.0,1.0,0.0,1
12,0.5,0.5,0.0,0
13,0.25,0.75,0.0,1
14,0.0,1.0,0.0,1
15,0.25,0.75,0.0,1
16,0.25,0.5,0.25,1
17,0.25,0.75,0.0,1
18,0.5,0.5,0.0,0
19,0.25,0.5,0.25,1
20,0.0,1.0,0.0,1
21,0.0,1.0,0.0,1
22,0.5,0.5,0.0,0
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.25,0.75,0.0,1
26,0.25,0.75,0.0,1
27,0.25,0.75,0.0,1
28,0.5,0.5,0.0,0
29,0.25,0.75,0.0,1
30,0.25,0.75,0.0,1
31,0.5,0.5,0.0,0
32,0.25,0.75,0.0,1
33,0.25,0.75,0.0,1
34,0.0,1.0,0.0,1
35,0.25,0.75,0.0,1
36,0.5,0.5,0.0,0
37,0.5,0.5,0.0,0
38,0.0,1.0,0.0,1
39,0.0,1.0,0.0,1
40,0.0,1.0,0.0,1
41,0.25,0.75,0.0,1
42,0.5,0.5,0.0,0
43,0.0,1.0,0.0,1
44,0.25,0.75,0.0,1
45,0.0,0.75,0.25,1
46,0.25,0.75,0.0,1
47,0.5,0.5,0.0,0
48,0.0,1.0,0.0,1
49,0.5,0.5,0.0,0
50,0.5,0.5,0.0,0
51,0.25,0.75,0.0,1
52,0.5,0.5,0.0,0
53,0.25,0.75,0.0,1
54,0.25,0.5,0.25,1
55,0.5,0.5,0.0,0
56,0.25,0.75,0.0,1
57,0.5,0.5,0.0,0
58,0.25,0.5,0.25,1
59,0.25,0.75,0.0,1
60,0.5,0.5,0.0,0
61,0.5,0.5,0.0,0
62,0.0,1.0,0.0,1
63,0.5,0.5,0.0,0
64,0.0,1.0,0.0,1
65,0.5,0.5,0.0,0
66,0.25,0.75,0.0,1
67,0.25,0.75,0.0,1
68,0.5,0.5,0.0,0
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.0,1.0,0.0,1
72,0.0,1.0,0.0,1
73,0.25,0.75,0.0,1
74,0.25,0.75,0.0,1
75,0.25,0.5,0.25,1
76,0.25,0.75,0.0,1
77,0.0,1.0,0.0,1
78,0.25,0.75,0.0,1
79,0.5,0.5,0.0,0
80,0.25,0.75,0.0,1
81,0.5,0.5,0.0,0
82,0.0,1.0,0.0,1
83,0.25,0.75,0.0,1
84,0.5,0.5,0.0,0
85,0.5,0.5,0.0,0
86,0.0,1.0,0.0,1
87,0.0,1.0,0.0,1
88,0.0,1.0,0.0,1
89,0.0,1.0,0.0,1
90,0.0,1.0,0.0,1
91,0.0,1.0,0.0,1
92,0.25,0.75,0.0,1
93,0.25,0.75,0.0,1
94,0.0,1.0,0.0,1
95,0.0,1.0,0.0,1
96,0.5,0.5,0.0,0
97,0.0,1.0,0.0,1
98,0.25,0.75,0.0,1
99,0.0,1.0,0.0,1
100,0.5,0.5,0.0,0
101,0.0,1.0,0.0,1
102,0.25,0.75,0.0,1
103,0.5,0.5,0.0,0
104,0.25,0.75,0.0,1
105,0.25,0.75,0.0,1
106,0.25,0.5,0.25,1
107,0.5,0.5,0.0,0
108,0.5,0.5,0.0,0
109,0.5,0.5,0.0,0
110,0.5,0.5,0.0,0
111,0.25,0.75,0.0,1
112,0.25,0.75,0.0,1
113,0.5,0.5,0.0,0
114,0.0,1.0,0.0,1
115,0.25,0.75,0.0,1
116,0.0,1.0,0.0,1
117,0.0,1.0,0.0,1
118,0.5,0.5,0.0,0
119,0.0,1.0,0.0,1
120,0.25,0.75,0.0,1
121,0.25,0.75,0.0,1
122,0.25,0.75,0.0,1
123,0.25,0.75,0.0,1
124,0.5,0.5,0.0,0
125,0.0,1.0,0.0,1
126,0.0,1.0,0.0,1
127,0.0,1.0,0.0,1
128,0.0,1.0,0.0,1
129,0.0,1.0,0.0,1
130,0.25,0.75,0.0,1
131,0.0,1.0,0.0,1
132,0.25,0.75,0.0,1
133,0.25,0.75,0.0,1
134,0.5,0.5,0.0,0
135,0.0,0.75,0.25,1
136,0.5,0.5,0.0,0
137,0.0,1.0,0.0,1
138,0.0,1.0,0.0,1
139,0.25,0.75,0.0,1
140,0.0,1.0,0.0,1
141,0.0,1.0,0.0,1
142,0.25,0.75,0.0,1
143,0.5,0.5,0.0,0
144,0.25,0.75,0.0,1
145,0.25,0.75,0.0,1
146,0.0,1.0,0.0,1
147,0.25,0.75,0.0,1
148,0.25,0.75,0.0,1
149,0.0,1.0,0.0,1
150,0.0,1.0,0.0,1
151,0.0,1.0,0.0,1
152,0.0,1.0,0.0,1
153,0.5,0.5,0.0,0
154,0.25,0.75,0.0,1
155,0.25,0.75,0.0,1
156,0.25,0.75,0.0,1
157,0.5,0.5,0.0,0
158,0.25,0.75,0.0,1
159,0.5,0.5,0.0,0
160,0.25,0.75,0.0,1
161,0.0,1.0,0.0,1
162,0.5,0.5,0.0,0
163,0.5,0.5,0.0,0
164,0.25,0.75,0.0,1
165,0.5,0.5,0.0,0
166,0.25,0.5,0.25,1
167,0.0,1.0,0.0,1
168,0.0,1.0,0.0,1
169,0.0,1.0,0.0,1
170,0.5,0.5,0.0,0
171,0.25,0.75,0.0,1
172,0.5,0.5,0.0,0
173,0.25,0.75,0.0,1
174,0.0,1.0,0.0,1
175,0.5,0.5,0.0,0
176,0.25,0.75,0.0,1
177,0.5,0.5,0.0,0
178,0.0,1.0,0.0,1
179,0.25,0.5,0.25,1
180,0.25,0.75,0.0,1
181,0.0,1.0,0.0,1
182,0.0,1.0,0.0,1
183,0.0,1.0,0.0,1
184,0.5,0.5,0.0,0
185,0.25,0.75,0.0,1
186,0.0,1.0,0.0,1
187,0.5,0.5,0.0,0
188,0.5,0.5,0.0,0
189,0.0,1.0,0.0,1
190,0.25,0.75,0.0,1
191,0.5,0.5,0.0,0
192,0.0,1.0,0.0,1
193,0.0,1.0,0.0,1
194,0.25,0.75,0.0,1
195,0.25,0.75,0.0,1
196,0.5,0.5,0.0,0
197,0.25,0.75,0.0,1
198,0.5,0.5,0.0,0
199,0.5,0.5,0.0,0
200,0.0,1.0,0.0,1
201,0.25,0.75,0.0,1
202,0.25,0.75,0.0,1
203,0.0,1.0,0.0,1
204,0.0,1.0,0.0,1
205,0.5,0.5,0.0,0
206,0.5,0.5,0.0,0
207,0.5,0.5,0.0,0
208,0.5,0.5,0.0,0
209,0.5,0.5,0.0,0
210,0.5,0.5,0.0,0
211,0.0,1.0,0.0,1
212,0.25,0.75,0.0,1
213,0.5,0.5,0.0,0
214,0.0,1.0,0.0,1
215,0.0,1.0,0.0,1
216,0.25,0.75,0.0,1
217,0.5,0.5,0.0,0
218,0.0,1.0,0.0,1
219,0.0,1.0,0.0,1
220,0.0,1.0,0.0,1
221,0.25,0.75,0.0,1
222,0.0,1.0,0.0,1
223,0.25,0.75,0.0,1
224,0.0,1.0,0.0,1
225,0.0,1.0,0.0,1
226,0.0,1.0,0.0,1
227,0.5,0.5,0.0,0
228,0.25,0.75,0.0,1
229,0.25,0.75,0.0,1
230,0.25,0.75,0.0,1
231,0.0,1.0,0.0,1
232,0.5,0.5,0.0,0
233,0.0,1.0,0.0,1
234,0.0,1.0,0.0,1
235,0.5,0.5,0.0,0
236,0.25,0.75,0.0,1
237,0.0,1.0,0.0,1
238,0.25,0.75,0.0,1
239,0.5,0.5,0.0,0
240,0.5,0.5,0.0,0
241,0.0,1.0,0.0,1
242,0.25,0.75,0.0,1
243,0.5,0.5,0.0,0
244,0.25,0.75,0.0,1
245,0.25,0.5,0.25,1
246,0.25,0.75,0.0,1
247,0.0,1.0,0.0,1
248,0.0,1.0,0.0,1
249,0.0,1.0,0.0,1
250,0.25,0.75,0.0,1
251,0.25,0.75,0.0,1
252,0.5,0.5,0.0,0
253,0.5,0.5,0.0,0
254,0.5,0.5,0.0,0
255,0.0,1.0,0.0,1
256,0.0,1.0,0.0,1
257,0.25,0.75,0.0,1
258,0.5,0.5,0.0,0
259,0.5,0.5,0.0,0
260,0.0,1.0,0.0,1
261,0.25,0.75,0.0,1
262,0.5,0.5,0.0,0
263,0.0,1.0,0.0,1
264,0.0,1.0,0.0,1
265,0.25,0.75,0.0,1
266,0.0,1.0,0.0,1
267,0.0,0.75,0.25,1
268,0.25,0.75,0.0,1
269,0.5,0.5,0.0,0
270,0.5,0.5,0.0,0
271,0.5,0.5,0.0,0
272,0.25,0.75,0.0,1
273,0.5,0.5,0.0,0
274,0.5,0.5,0.0,0
275,0.0,1.0,0.0,1
276,0.25,0.75,0.0,1
277,0.25,0.75,0.0,1
278,0.0,1.0,0.0,1
279,0.5,0.5,0.0,0
280,0.5,0.5,0.0,0
281,0.5,0.5,0.0,0
282,0.5,0.5,0.0,0
283,0.5,0.5,0.0,0
284,0.5,0.5,0.0,0
285,0.5,0.5,0.0,0
286,0.25,0.75,0.0,1
287,0.0,1.0,0.0,1
288,0.0,1.0,0.0,1
289,0.0,0.75,0.25,1
290,0.0,1.0,0.0,1
291,0.0,1.0,0.0,1
292,0.5,0.5,0.0,0
293,0.0,1.0,0.0,1
294,0.0,1.0,0.0,1
