Index,0,1,2,Ensemble_Decision
0,0.5,0.5,0.0,0
1,0.25,0.75,0.0,1
2,0.5,0.5,0.0,0
3,0.0,1.0,0.0,1
4,0.25,0.75,0.0,1
5,0.0,1.0,0.0,1
6,0.5,0.5,0.0,0
7,0.0,1.0,0.0,1
8,0.5,0.5,0.0,0
9,0.5,0.5,0.0,0
10,0.25,0.75,0.0,1
11,0.0,1.0,0.0,1
12,0.0,1.0,0.0,1
13,0.5,0.5,0.0,0
14,0.25,0.75,0.0,1
15,0.5,0.5,0.0,0
16,0.5,0.5,0.0,0
17,0.25,0.75,0.0,1
18,0.25,0.75,0.0,1
19,0.25,0.75,0.0,1
20,0.25,0.75,0.0,1
21,0.0,1.0,0.0,1
22,0.0,1.0,0.0,1
23,0.0,1.0,0.0,1
24,0.0,1.0,0.0,1
25,0.25,0.75,0.0,1
26,0.5,0.5,0.0,0
27,0.5,0.5,0.0,0
28,0.0,1.0,0.0,1
29,0.5,0.5,0.0,0
30,0.25,0.75,0.0,1
31,0.25,0.75,0.0,1
32,0.25,0.75,0.0,1
33,0.0,1.0,0.0,1
34,0.5,0.5,0.0,0
35,0.0,1.0,0.0,1
36,0.0,1.0,0.0,1
37,0.5,0.5,0.0,0
38,0.5,0.5,0.0,0
39,0.5,0.5,0.0,0
40,0.5,0.5,0.0,0
41,0.5,0.5,0.0,0
42,0.0,1.0,0.0,1
43,0.25,0.75,0.0,1
44,0.5,0.5,0.0,0
45,0.0,1.0,0.0,1
46,0.5,0.5,0.0,0
47,0.25,0.75,0.0,1
48,0.0,1.0,0.0,1
49,0.0,1.0,0.0,1
50,0.5,0.5,0.0,0
51,0.0,1.0,0.0,1
52,0.0,1.0,0.0,1
53,0.5,0.5,0.0,0
54,0.0,1.0,0.0,1
55,0.0,1.0,0.0,1
56,0.5,0.5,0.0,0
57,0.0,1.0,0.0,1
58,0.5,0.5,0.0,0
59,0.5,0.5,0.0,0
60,0.0,1.0,0.0,1
61,0.25,0.75,0.0,1
62,0.0,1.0,0.0,1
63,0.0,1.0,0.0,1
64,0.0,1.0,0.0,1
65,0.0,1.0,0.0,1
66,0.0,1.0,0.0,1
67,0.0,1.0,0.0,1
68,0.0,1.0,0.0,1
69,0.0,1.0,0.0,1
70,0.0,1.0,0.0,1
71,0.0,1.0,0.0,1
72,0.5,0.5,0.0,0
73,0.25,0.75,0.0,1
74,0.0,1.0,0.0,1
75,0.0,1.0,0.0,1
76,0.5,0.5,0.0,0
77,0.5,0.5,0.0,0
78,0.25,0.75,0.0,1
79,0.25,0.75,0.0,1
80,0.5,0.5,0.0,0
81,0.25,0.75,0.0,1
82,0.0,1.0,0.0,1
83,0.0,1.0,0.0,1
84,0.0,1.0,0.0,1
85,0.0,1.0,0.0,1
86,0.25,0.75,0.0,1
87,0.25,0.75,0.0,1
88,0.25,0.75,0.0,1
89,0.0,1.0,0.0,1
90,0.0,1.0,0.0,1
91,0.25,0.75,0.0,1
92,0.25,0.75,0.0,1
93,0.25,0.75,0.0,1
94,0.25,0.75,0.0,1
95,0.25,0.75,0.0,1
96,0.5,0.5,0.0,0
97,0.0,1.0,0.0,1
98,0.5,0.5,0.0,0
99,0.5,0.5,0.0,0
100,0.0,1.0,0.0,1
101,0.0,1.0,0.0,1
102,0.25,0.75,0.0,1
103,0.25,0.75,0.0,1
104,0.25,0.75,0.0,1
105,0.5,0.5,0.0,0
106,0.0,1.0,0.0,1
107,0.0,1.0,0.0,1
108,0.25,0.75,0.0,1
109,0.25,0.75,0.0,1
110,0.25,0.75,0.0,1
111,0.5,0.5,0.0,0
112,0.25,0.75,0.0,1
113,0.0,1.0,0.0,1
114,0.0,1.0,0.0,1
115,0.25,0.75,0.0,1
