Index,0,1,2,Ensemble_Decision
0,0.75,0.25,0.0,0
1,0.0,1.0,0.0,1
2,0.25,0.75,0.0,1
3,0.75,0.25,0.0,0
4,0.0,1.0,0.0,1
5,0.75,0.25,0.0,0
6,0.5,0.5,0.0,0
7,0.0,1.0,0.0,1
8,0.75,0.25,0.0,0
9,0.75,0.25,0.0,0
10,0.0,1.0,0.0,1
11,0.25,0.75,0.0,1
12,0.25,0.75,0.0,1
13,0.25,0.75,0.0,1
14,0.0,1.0,0.0,1
15,0.25,0.75,0.0,1
16,0.5,0.5,0.0,0
17,0.75,0.25,0.0,0
18,0.5,0.5,0.0,0
19,0.25,0.75,0.0,1
20,1.0,0.0,0.0,0
21,0.5,0.5,0.0,0
22,0.0,1.0,0.0,1
23,1.0,0.0,0.0,0
24,0.25,0.75,0.0,1
25,0.0,1.0,0.0,1
26,0.5,0.5,0.0,0
27,0.75,0.0,0.25,0
28,0.0,1.0,0.0,1
29,1.0,0.0,0.0,0
30,0.0,1.0,0.0,1
31,0.25,0.75,0.0,1
32,0.0,1.0,0.0,1
33,0.75,0.25,0.0,0
34,0.25,0.75,0.0,1
35,0.5,0.5,0.0,0
36,0.5,0.5,0.0,0
37,0.0,1.0,0.0,1
38,0.5,0.5,0.0,0
39,0.75,0.25,0.0,0
40,0.0,1.0,0.0,1
41,0.5,0.5,0.0,0
42,0.0,1.0,0.0,1
43,1.0,0.0,0.0,0
44,0.5,0.5,0.0,0
45,0.0,1.0,0.0,1
46,0.25,0.75,0.0,1
47,0.25,0.75,0.0,1
48,0.5,0.5,0.0,0
49,0.25,0.75,0.0,1
50,1.0,0.0,0.0,0
51,0.25,0.75,0.0,1
52,0.0,1.0,0.0,1
53,0.0,1.0,0.0,1
54,0.25,0.75,0.0,1
55,0.25,0.75,0.0,1
56,0.5,0.5,0.0,0
57,0.5,0.5,0.0,0
58,0.25,0.75,0.0,1
59,1.0,0.0,0.0,0
60,0.25,0.75,0.0,1
61,0.0,1.0,0.0,1
62,0.25,0.75,0.0,1
63,0.0,1.0,0.0,1
64,0.0,1.0,0.0,1
65,0.0,1.0,0.0,1
66,0.25,0.75,0.0,1
67,0.0,1.0,0.0,1
68,0.5,0.5,0.0,0
69,1.0,0.0,0.0,0
70,0.0,1.0,0.0,1
71,0.5,0.5,0.0,0
72,0.5,0.5,0.0,0
73,0.5,0.5,0.0,0
74,0.5,0.5,0.0,0
75,0.25,0.75,0.0,1
76,0.25,0.75,0.0,1
77,0.25,0.75,0.0,1
78,0.25,0.75,0.0,1
79,1.0,0.0,0.0,0
80,0.0,1.0,0.0,1
81,0.25,0.75,0.0,1
82,0.0,1.0,0.0,1
83,0.5,0.5,0.0,0
84,0.5,0.5,0.0,0
85,0.0,1.0,0.0,1
86,0.5,0.5,0.0,0
87,0.75,0.25,0.0,0
88,0.75,0.25,0.0,0
89,0.0,1.0,0.0,1
90,0.75,0.25,0.0,0
91,0.5,0.5,0.0,0
92,0.25,0.75,0.0,1
93,1.0,0.0,0.0,0
94,1.0,0.0,0.0,0
95,1.0,0.0,0.0,0
96,0.0,1.0,0.0,1
97,0.25,0.75,0.0,1
98,0.5,0.5,0.0,0
99,0.25,0.75,0.0,1
100,0.25,0.75,0.0,1
101,0.25,0.75,0.0,1
102,0.25,0.75,0.0,1
103,0.25,0.75,0.0,1
104,0.0,1.0,0.0,1
105,0.0,1.0,0.0,1
106,1.0,0.0,0.0,0
107,0.5,0.5,0.0,0
108,0.75,0.25,0.0,0
109,0.5,0.5,0.0,0
110,0.0,1.0,0.0,1
111,0.25,0.75,0.0,1
112,0.25,0.75,0.0,1
113,0.25,0.75,0.0,1
114,0.25,0.75,0.0,1
115,0.25,0.75,0.0,1
116,0.0,1.0,0.0,1
117,0.0,1.0,0.0,1
118,0.75,0.25,0.0,0
119,0.5,0.5,0.0,0
120,0.0,1.0,0.0,1
121,0.0,1.0,0.0,1
122,0.25,0.75,0.0,1
123,0.0,1.0,0.0,1
124,0.0,1.0,0.0,1
125,0.25,0.75,0.0,1
126,0.0,1.0,0.0,1
127,0.5,0.5,0.0,0
128,0.0,1.0,0.0,1
129,0.25,0.75,0.0,1
130,0.5,0.5,0.0,0
131,0.25,0.75,0.0,1
132,0.0,1.0,0.0,1
133,0.0,1.0,0.0,1
134,0.25,0.75,0.0,1
135,0.75,0.25,0.0,0
136,0.0,1.0,0.0,1
137,0.0,1.0,0.0,1
138,0.0,1.0,0.0,1
139,0.0,1.0,0.0,1
140,0.25,0.75,0.0,1
141,0.0,1.0,0.0,1
142,0.75,0.25,0.0,0
143,0.25,0.75,0.0,1
144,1.0,0.0,0.0,0
145,0.0,1.0,0.0,1
146,0.5,0.5,0.0,0
147,0.25,0.75,0.0,1
148,0.75,0.25,0.0,0
149,0.25,0.75,0.0,1
150,0.5,0.5,0.0,0
151,0.0,1.0,0.0,1
152,1.0,0.0,0.0,0
153,0.5,0.5,0.0,0
154,0.75,0.25,0.0,0
155,0.25,0.75,0.0,1
156,0.25,0.75,0.0,1
