0,1,2,3,4,5,6,7,8,9
2.0,1247.0,1218.0,17.0,152.0,1.0,15.0,1233.0,29.0,2.0
1.0,1577.0,1593.0,17.0,75.0,2.0,52.0,1585.0,-16.0,1.0
2.0,2015.0,2028.0,17.0,76.0,1.0,29.0,2022.0,-13.0,2.0
1.0,2139.0,2145.0,17.0,73.0,1.0,56.0,2142.0,-6.0,1.0
2.0,1756.0,1737.0,17.0,69.0,1.0,21.0,1747.0,19.0,2.0
2.0,1638.0,1696.0,17.0,35.0,2.0,45.0,1667.0,-58.0,2.0
2.0,1841.0,1825.0,17.0,135.0,1.0,45.0,1833.0,16.0,2.0
1.0,1699.0,1713.0,17.0,161.0,1.0,29.0,1706.0,-14.0,1.0
2.0,1496.0,1575.0,17.0,147.0,1.0,24.0,1536.0,-79.0,2.0
1.0,1314.0,1334.0,17.0,150.0,1.0,8.0,1324.0,-20.0,1.0
2.0,1953.0,1951.0,17.0,135.0,2.0,37.0,1952.0,2.0,2.0
2.0,1443.0,1491.0,17.0,5.0,1.0,32.0,1467.0,-48.0,2.0
2.0,1268.0,1272.0,17.0,1.0,1.0,16.0,1270.0,-4.0,2.0
2.0,1892.0,1886.0,17.0,135.0,1.0,18.0,1889.0,6.0,2.0
2.0,1413.0,1396.0,17.0,204.0,1.0,19.0,1405.0,17.0,2.0
1.0,1356.0,1614.0,47.0,137.0,1.0,51.0,1485.0,-258.0,1.0
1.0,1355.0,1368.0,21.0,150.0,2.0,31.0,1362.0,-13.0,1.0
2.0,1679.0,1755.0,5.0,156.0,1.0,43.0,1717.0,-76.0,2.0
3.0,2558.0,2659.0,63.0,41.0,2.0,77.0,2609.0,-101.0,3.0
2.0,1326.0,1323.0,21.0,65.0,1.0,26.0,1325.0,3.0,2.0
1.0,2259.0,2257.0,21.0,40.0,2.0,30.0,2258.0,2.0,1.0
1.0,1433.0,1491.0,21.0,204.0,1.0,50.0,1462.0,-58.0,1.0
2.0,1922.0,1948.0,21.0,205.0,2.0,29.0,1935.0,-26.0,2.0
1.0,1683.0,1641.0,21.0,41.0,1.0,57.0,1662.0,42.0,1.0
2.0,2080.0,2082.0,21.0,41.0,1.0,15.0,2081.0,-2.0,2.0
1.0,1587.0,1584.0,21.0,189.0,2.0,50.0,1586.0,3.0,1.0
1.0,1371.0,1342.0,21.0,75.0,1.0,68.0,1357.0,29.0,1.0
2.0,1493.0,1520.0,21.0,40.0,1.0,11.0,1507.0,-27.0,2.0
2.0,1902.0,1895.0,21.0,73.0,2.0,16.0,1899.0,7.0,2.0
2.0,1707.0,1720.0,21.0,78.0,2.0,60.0,1714.0,-13.0,2.0
1.0,1940.0,1922.0,63.0,135.0,2.0,45.0,1931.0,18.0,1.0
1.0,1474.0,1473.0,63.0,64.0,2.0,43.0,1474.0,1.0,1.0
1.0,2139.0,2159.0,63.0,206.0,1.0,19.0,2149.0,-20.0,1.0
1.0,2541.0,2376.0,63.0,1.0,2.0,48.0,2459.0,165.0,1.0
1.0,1460.0,1451.0,63.0,151.0,1.0,20.0,1456.0,9.0,1.0
1.0,1682.0,1652.0,63.0,2.0,1.0,22.0,1667.0,30.0,1.0
1.0,2005.0,1944.0,63.0,22.0,1.0,7.0,1975.0,61.0,1.0
2.0,1601.0,1649.0,63.0,73.0,1.0,27.0,1625.0,-48.0,2.0
1.0,2138.0,2125.0,63.0,204.0,1.0,32.0,2132.0,13.0,1.0
2.0,1921.0,1934.0,63.0,65.0,1.0,18.0,1928.0,-13.0,2.0
1.0,1769.0,1910.0,63.0,35.0,1.0,26.0,1840.0,-141.0,1.0
2.0,1362.0,1354.0,63.0,150.0,2.0,51.0,1358.0,8.0,2.0
2.0,1711.0,1691.0,63.0,192.0,1.0,17.0,1701.0,20.0,2.0
1.0,1498.0,1548.0,63.0,90.0,2.0,33.0,1523.0,-50.0,1.0
2.0,1166.0,1285.0,63.0,2.0,1.0,18.0,1226.0,-119.0,2.0
1.0,1339.0,1406.0,64.0,7.0,1.0,6.0,1373.0,-67.0,1.0
2.0,1990.0,1801.0,66.0,73.0,1.0,33.0,1896.0,189.0,2.0
2.0,1451.0,1492.0,63.0,152.0,2.0,45.0,1472.0,-41.0,2.0
1.0,1487.0,1503.0,39.0,27.0,1.0,28.0,1495.0,-16.0,1.0
2.0,1876.0,1893.0,71.0,35.0,1.0,28.0,1885.0,-17.0,2.0
1.0,1490.0,1545.0,71.0,219.0,1.0,76.0,1518.0,-55.0,1.0
2.0,1384.0,1393.0,71.0,153.0,1.0,19.0,1389.0,-9.0,2.0
2.0,1447.0,1403.0,71.0,11.0,1.0,54.0,1425.0,44.0,2.0
1.0,1697.0,1701.0,39.0,73.0,1.0,14.0,1699.0,-4.0,1.0
2.0,1243.0,1262.0,39.0,165.0,1.0,8.0,1253.0,-19.0,2.0
2.0,1825.0,1810.0,39.0,65.0,2.0,69.0,1818.0,15.0,2.0
2.0,1486.0,1436.0,39.0,152.0,1.0,24.0,1461.0,50.0,2.0
2.0,1509.0,1517.0,39.0,179.0,2.0,39.0,1513.0,-8.0,2.0
3.0,1803.0,1797.0,39.0,206.0,1.0,41.0,1800.0,6.0,3.0
2.0,1522.0,1533.0,39.0,97.0,1.0,28.0,1528.0,-11.0,2.0
2.0,1596.0,1597.0,39.0,87.0,1.0,31.0,1597.0,-1.0,2.0
