,0,1,2,3,4
0,5.1,3.5,1.4,0.2,0.0
1,4.9,3.0,1.4,0.2,0.0
2,4.7,3.2,1.3,0.2,0.0
3,4.6,3.1,1.5,0.2,0.0
4,5.0,3.6,1.4,0.2,0.0
5,5.4,3.9,1.7,0.4,0.0
6,4.6,3.4,1.4,0.3,0.0
7,5.0,3.4,1.5,0.2,0.0
8,4.4,2.9,1.4,0.2,0.0
9,4.9,3.1,1.5,0.1,0.0
10,5.4,3.7,1.5,0.2,0.0
11,4.8,3.4,1.6,0.2,0.0
12,4.8,3.0,1.4,0.1,0.0
13,4.3,3.0,1.1,0.1,0.0
14,5.8,4.0,1.2,0.2,0.0
15,5.7,4.4,1.5,0.4,0.0
16,5.4,3.9,1.3,0.4,0.0
17,5.1,3.5,1.4,0.3,0.0
18,5.7,3.8,1.7,0.3,0.0
19,5.1,3.8,1.5,0.3,0.0
20,5.4,3.4,1.7,0.2,0.0
21,5.1,3.7,1.5,0.4,0.0
22,4.6,3.6,1.0,0.2,0.0
23,5.1,3.3,1.7,0.5,0.0
24,4.8,3.4,1.9,0.2,0.0
25,5.0,3.0,1.6,0.2,0.0
26,5.0,3.4,1.6,0.4,0.0
27,5.2,3.5,1.5,0.2,0.0
28,5.2,3.4,1.4,0.2,0.0
29,4.7,3.2,1.6,0.2,0.0
30,4.8,3.1,1.6,0.2,0.0
31,5.4,3.4,1.5,0.4,0.0
32,5.2,4.1,1.5,0.1,0.0
33,5.5,4.2,1.4,0.2,0.0
34,4.9,3.1,1.5,0.2,0.0
35,5.0,3.2,1.2,0.2,0.0
36,5.5,3.5,1.3,0.2,0.0
37,4.9,3.6,1.4,0.1,0.0
38,4.4,3.0,1.3,0.2,0.0
39,5.1,3.4,1.5,0.2,0.0
40,5.0,3.5,1.3,0.3,0.0
41,4.5,2.3,1.3,0.3,0.0
42,4.4,3.2,1.3,0.2,0.0
43,5.0,3.5,1.6,0.6,0.0
44,5.1,3.8,1.9,0.4,0.0
45,4.8,3.0,1.4,0.3,0.0
46,5.1,3.8,1.6,0.2,0.0
47,4.6,3.2,1.4,0.2,0.0
48,5.3,3.7,1.5,0.2,0.0
49,5.0,3.3,1.4,0.2,0.0
50,7.0,3.2,4.7,1.4,1.0
51,6.4,3.2,4.5,1.5,1.0
52,6.9,3.1,4.9,1.5,1.0
53,5.5,2.3,4.0,1.3,1.0
54,6.5,2.8,4.6,1.5,1.0
55,5.7,2.8,4.5,1.3,1.0
56,6.3,3.3,4.7,1.6,1.0
57,4.9,2.4,3.3,1.0,1.0
58,6.6,2.9,4.6,1.3,1.0
59,5.2,2.7,3.9,1.4,1.0
60,5.5,2.6,4.4,1.2,1.0
61,6.1,3.0,4.6,1.4,1.0
62,5.8,2.6,4.0,1.2,1.0
63,5.0,2.3,3.3,1.0,1.0
64,5.6,2.7,4.2,1.3,1.0
65,5.7,3.0,4.2,1.2,1.0
66,5.7,2.9,4.2,1.3,1.0
67,6.2,2.9,4.3,1.3,1.0
68,5.1,2.5,3.0,1.1,1.0
69,5.7,2.8,4.1,1.3,1.0
70,6.3,3.3,6.0,2.5,2.0
71,5.8,2.7,5.1,1.9,2.0
72,7.1,3.0,5.9,2.1,2.0
73,6.3,2.9,5.6,1.8,2.0
74,6.5,3.0,5.8,2.2,2.0
75,7.6,3.0,6.6,2.1,2.0
76,4.9,2.5,4.5,1.7,2.0
77,7.3,2.9,6.3,1.8,2.0
78,6.7,2.5,5.8,1.8,2.0
79,7.2,3.6,6.1,2.5,2.0
80,6.5,3.2,5.1,2.0,2.0
81,6.4,2.7,5.3,1.9,2.0
82,6.8,3.0,5.5,2.1,2.0
83,5.7,2.5,5.0,2.0,2.0
84,5.8,2.8,5.1,2.4,2.0
85,6.4,3.2,5.3,2.3,2.0
86,6.5,3.0,5.5,1.8,2.0
87,7.7,3.8,6.7,2.2,2.0
88,7.7,2.6,6.9,2.3,2.0
89,6.0,2.2,5.0,1.5,2.0
90,6.9,3.2,5.7,2.3,2.0
91,5.6,2.8,4.9,2.0,2.0
92,7.7,2.8,6.7,2.0,2.0
93,6.3,2.7,4.9,1.8,2.0
94,6.7,3.3,5.7,2.1,2.0
95,7.2,3.2,6.0,1.8,2.0
96,6.2,2.8,4.8,1.8,2.0
97,6.1,3.0,4.9,1.8,2.0
98,6.4,2.8,5.6,2.1,2.0
99,7.2,3.0,5.8,1.6,2.0
100,7.4,2.8,6.1,1.9,2.0
101,7.9,3.8,6.4,2.0,2.0
102,6.4,2.8,5.6,2.2,2.0
103,6.3,2.8,5.1,1.5,2.0
104,6.1,2.6,5.6,1.4,2.0
105,7.7,3.0,6.1,2.3,2.0
106,6.3,3.4,5.6,2.4,2.0
107,6.4,3.1,5.5,1.8,2.0
108,6.0,3.0,4.8,1.8,2.0
109,6.9,3.1,5.4,2.1,2.0
110,6.7,3.1,5.6,2.4,2.0
111,6.9,3.1,5.1,2.3,2.0
112,5.8,2.7,5.1,1.9,2.0
113,6.8,3.2,5.9,2.3,2.0
114,6.7,3.3,5.7,2.5,2.0
115,6.7,3.0,5.2,2.3,2.0
116,6.3,2.5,5.0,1.9,2.0
117,6.5,3.0,5.2,2.0,2.0
118,6.2,3.4,5.4,2.3,2.0
119,5.9,3.0,5.1,1.8,2.0
