Index,0,1,2,Ensemble_Decision
0,0.002,0.923,0.075,1
1,0.979,0.015,0.006,0
2,0.003,0.008,0.99,2
3,0.004,0.932,0.064,1
4,0.002,0.257,0.741,2
5,0.971,0.019,0.009,0
6,0.01,0.965,0.025,1
7,0.001,0.015,0.984,2
8,0.003,0.471,0.526,2
9,0.003,0.968,0.029,1
10,0.002,0.285,0.714,2
11,0.975,0.014,0.011,0
12,0.975,0.018,0.007,0
13,0.989,0.008,0.004,0
14,0.993,0.004,0.003,0
15,0.001,0.842,0.156,1
16,0.001,0.018,0.981,2
17,0.004,0.984,0.011,1
18,0.005,0.93,0.065,1
19,0.001,0.052,0.947,2
20,0.986,0.006,0.008,0
21,0.015,0.603,0.382,1
22,0.985,0.01,0.005,0
23,0.001,0.056,0.942,2
24,0.01,0.006,0.984,2
25,0.001,0.033,0.966,2
26,0.001,0.067,0.932,2
27,0.001,0.011,0.989,2
28,0.97,0.018,0.012,0
29,0.985,0.009,0.007,0
