Index,0,1,2,Ensemble_Decision
0,0.997,0.002,0.001,0
1,0.995,0.003,0.002,0
2,0.002,0.987,0.011,1
3,0.988,0.009,0.004,0
4,0.992,0.005,0.003,0
5,0.003,0.167,0.83,2
6,0.002,0.968,0.03,1
7,0.99,0.006,0.003,0
8,0.993,0.005,0.003,0
9,0.995,0.003,0.002,0
10,0.004,0.083,0.914,2
11,0.005,0.916,0.078,1
12,0.001,0.92,0.079,1
13,0.994,0.003,0.002,0
14,0.992,0.005,0.003,0
15,0.007,0.991,0.002,1
16,0.003,0.552,0.445,1
17,0.003,0.016,0.981,2
18,0.002,0.988,0.01,1
19,0.001,0.0,0.999,2
20,0.003,0.992,0.004,1
21,0.0,0.0,0.999,2
22,0.003,0.962,0.035,1
23,0.992,0.005,0.003,0
24,0.0,0.0,1.0,2
25,0.004,0.994,0.001,1
26,0.991,0.006,0.003,0
27,0.993,0.005,0.002,0
28,0.982,0.012,0.005,0
29,0.01,0.965,0.024,1
