Index,0,1,2,Ensemble_Decision
0,0.004,0.198,0.798,2
1,0.987,0.008,0.004,0
2,0.984,0.011,0.005,0
3,0.972,0.021,0.007,0
4,0.004,0.984,0.013,1
5,0.989,0.007,0.004,0
6,0.005,0.991,0.003,1
7,0.001,0.004,0.996,2
8,0.992,0.005,0.003,0
9,0.002,0.993,0.005,1
10,0.003,0.068,0.929,2
11,0.994,0.003,0.002,0
12,0.005,0.244,0.751,2
13,0.003,0.067,0.93,2
14,0.003,0.93,0.067,1
15,0.008,0.922,0.07,1
16,0.007,0.007,0.987,2
17,0.004,0.976,0.021,1
18,0.985,0.011,0.005,0
19,0.023,0.972,0.006,1
20,0.002,0.01,0.987,2
21,0.99,0.007,0.003,0
22,0.991,0.006,0.003,0
23,0.007,0.99,0.003,1
24,0.003,0.259,0.738,2
25,0.988,0.009,0.004,0
26,0.001,0.003,0.996,2
27,0.99,0.006,0.003,0
28,0.975,0.018,0.007,0
29,0.005,0.308,0.688,2
