Index,0,1,2,Ensemble_Decision
0,0.072,0.914,0.014,1
1,0.001,0.003,0.996,2
2,0.003,0.193,0.804,2
3,0.002,0.052,0.946,2
4,0.0,0.0,1.0,2
5,0.005,0.983,0.011,1
6,0.994,0.004,0.002,0
7,0.997,0.001,0.001,0
8,0.003,0.41,0.587,2
9,0.001,0.001,0.998,2
10,0.992,0.005,0.003,0
11,0.991,0.006,0.003,0
12,0.995,0.003,0.002,0
13,0.003,0.411,0.586,2
14,0.001,0.011,0.988,2
15,0.994,0.004,0.002,0
16,0.001,0.01,0.989,2
17,0.001,0.002,0.997,2
18,0.994,0.003,0.002,0
19,0.003,0.873,0.124,1
20,0.003,0.728,0.269,1
21,0.003,0.433,0.564,2
22,0.003,0.418,0.579,2
23,0.002,0.031,0.967,2
24,0.988,0.008,0.004,0
25,0.001,0.013,0.986,2
26,0.003,0.766,0.232,1
27,0.002,0.055,0.943,2
28,0.018,0.974,0.008,1
29,0.008,0.984,0.008,1
