Index,0,1,2,Ensemble_Decision
0,0.003,0.981,0.016,1
1,0.959,0.038,0.003,0
2,0.002,0.983,0.014,1
3,0.003,0.993,0.003,1
4,0.994,0.003,0.002,0
5,0.008,0.989,0.004,1
6,0.001,0.005,0.994,2
7,0.002,0.005,0.993,2
8,0.992,0.005,0.003,0
9,0.021,0.975,0.004,1
10,0.001,0.0,0.999,2
11,0.002,0.285,0.713,2
12,0.996,0.002,0.002,0
13,0.001,0.001,0.998,2
14,0.988,0.01,0.003,0
15,0.003,0.766,0.232,1
16,0.001,0.003,0.996,2
17,0.003,0.031,0.966,2
18,0.005,0.991,0.004,1
19,0.003,0.085,0.912,2
20,0.001,0.925,0.073,1
21,0.003,0.988,0.009,1
22,0.006,0.075,0.92,2
23,0.005,0.212,0.783,2
24,0.986,0.011,0.004,0
25,0.004,0.992,0.004,1
26,0.005,0.854,0.141,1
27,0.981,0.017,0.002,0
28,0.004,0.993,0.003,1
29,0.001,0.002,0.997,2
