Index,0,1,2,Ensemble_Decision
0,0.003,0.95,0.047,1
1,0.873,0.121,0.006,0
2,0.008,0.912,0.08,1
3,0.003,0.99,0.006,1
4,0.994,0.003,0.002,0
5,0.01,0.968,0.022,1
6,0.001,0.004,0.995,2
7,0.005,0.006,0.99,2
8,0.98,0.017,0.003,0
9,0.021,0.966,0.014,1
10,0.004,0.001,0.996,2
11,0.003,0.014,0.983,2
12,0.986,0.007,0.006,0
13,0.004,0.001,0.995,2
14,0.988,0.01,0.003,0
15,0.007,0.559,0.434,1
16,0.001,0.011,0.988,2
17,0.004,0.082,0.915,2
18,0.02,0.961,0.02,1
19,0.004,0.102,0.894,2
20,0.002,0.819,0.178,1
21,0.003,0.961,0.035,1
22,0.004,0.354,0.642,2
23,0.004,0.328,0.668,2
24,0.988,0.008,0.004,0
25,0.006,0.977,0.016,1
26,0.002,0.905,0.094,1
27,0.996,0.002,0.002,0
28,0.012,0.985,0.004,1
29,0.004,0.001,0.995,2
