Index,0,1,2,Ensemble_Decision
0,0.0,0.975,0.022,1
1,1.0,0.0,0.0,0
2,0.0,0.0,0.999,2
3,0.0,0.989,0.011,1
4,0.0,0.883,0.114,1
5,1.0,0.0,0.0,0
6,0.0,1.0,0.0,1
7,0.0,0.01,0.986,2
8,0.0,0.71,0.29,1
9,0.0,1.0,0.0,1
10,0.0,0.025,0.975,2
11,1.0,0.0,0.0,0
12,0.983,0.011,0.0,0
13,1.0,0.0,0.0,0
14,1.0,0.0,0.0,0
15,0.0,0.87,0.127,1
16,0.0,0.0,1.0,2
17,0.0,1.0,0.0,1
18,0.0,0.999,0.001,1
19,0.0,0.001,0.996,2
20,1.0,0.0,0.0,0
21,0.0,0.149,0.851,2
22,1.0,0.0,0.0,0
23,0.0,0.001,0.995,2
24,0.0,0.0,1.0,2
25,0.0,0.004,0.992,2
26,0.0,0.032,0.964,2
27,0.0,0.0,1.0,2
28,1.0,0.0,0.0,0
29,1.0,0.0,0.0,0
