Index,0,1,2,Ensemble_Decision
0,0.0,0.999,0.001,1
1,0.0,0.0,1.0,2
2,0.0,0.522,0.469,1
3,0.0,0.316,0.675,2
4,0.0,0.0,1.0,2
5,0.0,0.993,0.007,1
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,0.0,0.589,0.411,1
9,0.0,0.002,0.998,2
10,1.0,0.0,0.0,0
11,1.0,0.0,0.0,0
12,1.0,0.0,0.0,0
13,0.0,0.522,0.469,1
14,0.0,0.002,0.998,2
15,1.0,0.0,0.0,0
16,0.0,0.002,0.998,2
17,0.0,0.0,1.0,2
18,1.0,0.0,0.0,0
19,0.0,0.939,0.061,1
20,0.0,0.735,0.265,1
21,0.0,0.349,0.642,2
22,0.0,0.596,0.404,1
23,0.0,0.004,0.996,2
24,1.0,0.0,0.0,0
25,0.0,0.002,0.998,2
26,0.0,0.855,0.14,1
27,0.0,0.019,0.981,2
28,0.0,0.998,0.002,1
29,0.0,0.995,0.005,1
