Index,0,1,2,Ensemble_Decision
0,0.0,0.997,0.003,1
1,0.0,0.002,0.998,2
2,0.0,0.183,0.812,2
3,0.0,0.051,0.949,2
4,0.0,0.0,1.0,2
5,0.0,0.986,0.008,1
6,1.0,0.0,0.0,0
7,1.0,0.0,0.0,0
8,0.0,0.42,0.574,2
9,0.0,0.001,0.999,2
10,1.0,0.0,0.0,0
11,1.0,0.0,0.0,0
12,1.0,0.0,0.0,0
13,0.0,0.421,0.573,2
14,0.0,0.009,0.991,2
15,1.0,0.0,0.0,0
16,0.0,0.008,0.992,2
17,0.0,0.001,0.999,2
18,1.0,0.0,0.0,0
19,0.0,0.881,0.119,1
20,0.0,0.665,0.329,1
21,0.0,0.441,0.553,2
22,0.0,0.428,0.566,2
23,0.0,0.029,0.971,2
24,1.0,0.0,0.0,0
25,0.0,0.011,0.989,2
26,0.0,0.867,0.133,1
27,0.0,0.055,0.945,2
28,0.0,0.994,0.006,1
29,0.0,0.99,0.007,1
