Index,0,1,2,Ensemble_Decision
0,0.0,0.919,0.018,1
1,0.001,0.0,0.987,2
2,0.004,0.319,0.667,2
3,0.0,0.309,0.687,2
4,0.0,0.0,1.0,2
5,0.0,0.96,0.033,1
6,0.988,0.008,0.0,0
7,0.995,0.003,0.0,0
8,0.0,0.652,0.348,1
9,0.001,0.001,0.989,2
10,0.987,0.008,0.0,0
11,1.0,0.0,0.0,0
12,0.991,0.006,0.004,0
13,0.0,0.295,0.701,2
14,0.002,0.013,0.977,2
15,0.991,0.005,0.004,0
16,0.001,0.002,0.993,2
17,0.0,0.002,0.998,2
18,0.99,0.007,0.0,0
19,0.0,0.918,0.082,1
20,0.004,0.415,0.571,2
21,0.004,0.281,0.715,2
22,0.0,0.546,0.451,1
23,0.0,0.076,0.922,2
24,1.0,0.0,0.0,0
25,0.0,0.002,0.998,2
26,0.0,0.956,0.039,1
27,0.002,0.106,0.887,2
28,0.0,0.996,0.004,1
29,0.0,0.996,0.004,1
