epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.53141,2.0955,0.5375,0.9,1.62406,0.000272113,0.000272113,0.000272113
2,12.1711,1.6707,0.5,0.95,1.30318,0.000531637,0.000531637,0.000531637
3,15.279,1.44994,0.575,0.975,1.21058,0.000772835,0.000772835,0.000772835
4,18.3833,1.35998,0.625,0.9375,1.17403,0.000750533,0.000750533,0.000750533
5,21.3008,1.25416,0.6375,0.9375,1.07579,0.000723044,0.000723044,0.000723044
6,24.1993,1.15795,0.6125,0.9625,1.12999,0.000695555,0.000695555,0.000695555
7,27.2676,1.14541,0.575,0.95,1.15037,0.000668066,0.000668066,0.000668066
8,30.6152,1.0541,0.6375,0.95,1.11281,0.000640577,0.000640577,0.000640577
9,33.6266,1.01723,0.5875,0.95,1.19758,0.000613088,0.000613088,0.000613088
10,36.6738,0.89548,0.6,0.9625,1.05355,0.000585599,0.000585599,0.000585599
11,39.5483,0.86492,0.65,0.95,1.0407,0.00055811,0.00055811,0.00055811
12,42.4108,0.835,0.6375,0.9375,1.23924,0.000530621,0.000530621,0.000530621
13,45.1983,0.79025,0.6375,0.9375,1.09025,0.000503132,0.000503132,0.000503132
14,48.1791,0.7214,0.6875,0.9375,1.14255,0.000475643,0.000475643,0.000475643
15,51.2709,0.70761,0.5875,0.9625,1.21954,0.000448154,0.000448154,0.000448154
16,54.3354,0.64437,0.6625,0.975,1.02417,0.000420665,0.000420665,0.000420665
17,57.4742,0.60903,0.6125,0.95,1.10479,0.000393176,0.000393176,0.000393176
18,60.7549,0.5635,0.65,0.9375,1.12328,0.000365687,0.000365687,0.000365687
19,64.1048,0.54767,0.6,0.9375,1.15265,0.000338198,0.000338198,0.000338198
20,67.1371,0.57631,0.675,0.95,1.04906,0.000310709,0.000310709,0.000310709
21,71.2171,0.51476,0.6625,0.925,1.10841,0.00028322,0.00028322,0.00028322
22,74.3246,0.50925,0.6625,0.9625,1.16406,0.000255731,0.000255731,0.000255731
23,77.5262,0.47844,0.625,0.9375,1.05437,0.000228242,0.000228242,0.000228242
24,80.7896,0.46876,0.6375,0.925,1.13286,0.000200753,0.000200753,0.000200753
25,84.0632,0.42649,0.65,0.9375,1.21792,0.000173264,0.000173264,0.000173264
26,87.1815,0.44026,0.6625,0.9625,1.23386,0.000145775,0.000145775,0.000145775
