epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.31148,2.09942,0.5,0.925,1.63704,0.000272113,0.000272113,0.000272113
2,9.12642,1.68064,0.5125,0.9375,1.31087,0.000531637,0.000531637,0.000531637
3,11.6974,1.45234,0.625,0.975,1.24284,0.000772835,0.000772835,0.000772835
4,14.2074,1.37912,0.5875,0.9375,1.23633,0.000750533,0.000750533,0.000750533
5,16.5693,1.24383,0.5875,0.95,1.08773,0.000723044,0.000723044,0.000723044
6,19.1924,1.14067,0.625,0.9625,1.26204,0.000695555,0.000695555,0.000695555
7,21.6503,1.14036,0.55,0.9625,1.18913,0.000668066,0.000668066,0.000668066
8,24.3096,1.0455,0.6,0.9875,1.19368,0.000640577,0.000640577,0.000640577
9,26.9431,0.998,0.625,0.95,1.10319,0.000613088,0.000613088,0.000613088
10,29.5746,0.88058,0.6375,0.95,1.13997,0.000585599,0.000585599,0.000585599
11,32.1644,0.90247,0.6625,0.9875,1.04232,0.00055811,0.00055811,0.00055811
12,34.8089,0.81269,0.6375,0.9625,1.2749,0.000530621,0.000530621,0.000530621
13,37.3699,0.77496,0.6375,0.9375,1.26562,0.000503132,0.000503132,0.000503132
14,39.9232,0.67932,0.6375,0.9625,1.28385,0.000475643,0.000475643,0.000475643
15,42.54,0.68522,0.675,0.9625,1.21452,0.000448154,0.000448154,0.000448154
16,45.0137,0.63277,0.5875,0.9625,1.19987,0.000420665,0.000420665,0.000420665
17,47.5721,0.60622,0.625,0.9375,1.19971,0.000393176,0.000393176,0.000393176
18,50.0622,0.58005,0.65,0.95,1.23145,0.000365687,0.000365687,0.000365687
19,52.6369,0.55016,0.5875,0.9625,1.43327,0.000338198,0.000338198,0.000338198
20,55.2524,0.57855,0.65,0.9625,1.18538,0.000310709,0.000310709,0.000310709
21,77.7903,0.52545,0.6,0.95,1.18457,0.00028322,0.00028322,0.00028322
