epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.04904,2.01428,0.5,0.95,1.45392,0.000272113,0.000272113,0.000272113
2,11.7252,1.51831,0.6125,0.9625,1.21396,0.000531637,0.000531637,0.000531637
3,15.043,1.34331,0.55,0.925,1.33344,0.000772835,0.000772835,0.000772835
4,18.4236,1.25023,0.6125,0.95,1.19474,0.000750533,0.000750533,0.000750533
5,22.0944,1.17169,0.6,0.925,1.20866,0.000723044,0.000723044,0.000723044
6,25.3591,1.11305,0.5625,0.8875,1.39728,0.000695555,0.000695555,0.000695555
7,28.7144,1.01273,0.575,0.95,1.55246,0.000668066,0.000668066,0.000668066
8,31.9547,0.89766,0.625,0.95,1.23574,0.000640577,0.000640577,0.000640577
9,35.1616,0.94492,0.5625,0.9375,1.33124,0.000613088,0.000613088,0.000613088
10,38.2916,0.76648,0.6125,0.975,1.10501,0.000585599,0.000585599,0.000585599
11,42.0421,0.78023,0.65,0.9625,1.07717,0.00055811,0.00055811,0.00055811
12,46.0811,0.74892,0.6125,0.9625,1.06678,0.000530621,0.000530621,0.000530621
13,49.7498,0.64691,0.5375,0.95,1.35678,0.000503132,0.000503132,0.000503132
14,53.2359,0.58321,0.6625,0.975,1.36652,0.000475643,0.000475643,0.000475643
15,56.4843,0.57603,0.6,0.9625,1.13818,0.000448154,0.000448154,0.000448154
16,59.7289,0.51531,0.5875,0.975,1.33396,0.000420665,0.000420665,0.000420665
17,62.9836,0.48519,0.6125,0.9625,1.2479,0.000393176,0.000393176,0.000393176
18,66.818,0.42131,0.6125,0.95,1.17955,0.000365687,0.000365687,0.000365687
19,70.2906,0.40725,0.6375,0.9625,1.38828,0.000338198,0.000338198,0.000338198
20,73.8521,0.43796,0.6625,0.9625,1.15662,0.000310709,0.000310709,0.000310709
21,78.6229,0.38406,0.6125,0.9375,1.40155,0.00028322,0.00028322,0.00028322
22,82.8224,0.33346,0.6,0.95,1.42697,0.000255731,0.000255731,0.000255731
23,86.9019,0.33917,0.6625,0.925,1.25995,0.000228242,0.000228242,0.000228242
24,90.9436,0.33059,0.6625,0.925,1.09009,0.000200753,0.000200753,0.000200753
